#question_code	code	descr	display_text	seq	show_codes	hide_codes
						
CPA17_QUESTION	CPA17_OPT3	CPA17 Poor	Poor	3	CPA17_COMMENT	
CPA17_QUESTION	CPA17_OPT4	CPA17 Unable to Evaluate	Unable to Evaluate	4	CPA17_COMMENT	
CPA18_QUESTION	CPA18_OPT1	CPA18 Good	Good to Excellent	1		CPA18_COMMENT
CPA18_QUESTION	CPA18_OPT2	CPA18 Acceptable	Acceptable	2		CPA18_COMMENT
CPA18_QUESTION	CPA18_OPT3	CPA18 Poor	Poor	3	CPA18_COMMENT	
CPA18_QUESTION	CPA18_OPT4	CPA18 Unable to Evaluate	Unable to Evaluate	4	CPA18_COMMENT	
CPA19_QUESTION	CPA19_OPT1	CPA19 Good	Good to Excellent	1		CPA19_COMMENT
CPA19_QUESTION	CPA19_OPT2	CPA19 Acceptable	Acceptable	2		CPA19_COMMENT
CPA19_QUESTION	CPA19_OPT3	CPA19 Poor	Poor	3	CPA19_COMMENT	
CPA19_QUESTION	CPA19_OPT4	CPA19 Unable to Evaluate	Unable to Evaluate	4	CPA19_COMMENT	
CPA20_QUESTION	CPA20_OPT1	CPA20 Good	Good to Excellent	1		CPA20_COMMENT
CPA20_QUESTION	CPA20_OPT2	CPA20 Acceptable	Acceptable	2		CPA20_COMMENT
CPA20_QUESTION	CPA20_OPT3	CPA20 Poor	Poor	3	CPA20_COMMENT	
CPA20_QUESTION	CPA20_OPT4	CPA20 Unable to Evaluate	Unable to Evaluate	4	CPA20_COMMENT	
CPA21_QUESTION	CPA21_OPT1	CPA21 Good	Good to Excellent	1		CPA21_COMMENT
CPA21_QUESTION	CPA21_OPT2	CPA21 Acceptable	Acceptable	2		CPA21_COMMENT
CPA21_QUESTION	CPA21_OPT3	CPA21 Poor	Poor	3	CPA21_COMMENT	
CPA21_QUESTION	CPA21_OPT4	CPA21 Unable to Evaluate	Unable to Evaluate	4	CPA21_COMMENT	
CPA22_QUESTION	CPA22_OPT1	CPA22 Good	Good to Excellent	1		CPA22_COMMENT
CPA22_QUESTION	CPA22_OPT2	CPA22 Acceptable	Acceptable	2		CPA22_COMMENT
CPA22_QUESTION	CPA22_OPT3	CPA22 Poor	Poor	3	CPA22_COMMENT	
CPA22_QUESTION	CPA22_OPT4	CPA22 Unable to Evaluate	Unable to Evaluate	4	CPA22_COMMENT	
CPA23_QUESTION	CPA23_OPT1	CPA23 Good	Good to Excellent	1		CPA23_COMMENT
CPA23_QUESTION	CPA23_OPT2	CPA23 Acceptable	Acceptable	2		CPA23_COMMENT
CPA23_QUESTION	CPA23_OPT3	CPA23 Poor	Poor	3	CPA23_COMMENT	
CPA23_QUESTION	CPA23_OPT4	CPA23 Unable to Evaluate	Unable to Evaluate	4	CPA23_COMMENT	
CPA24_QUESTION	CPA24_OPT1	CPA24 Good	Good to Excellent	1		CPA24_COMMENT
CPA24_QUESTION	CPA24_OPT2	CPA24 Acceptable	Acceptable	2		CPA24_COMMENT
CPA24_QUESTION	CPA24_OPT3	CPA24 Poor	Poor	3	CPA24_COMMENT	
CPA24_QUESTION	CPA24_OPT4	CPA24 Unable to Evaluate	Unable to Evaluate	4	CPA24_COMMENT	
CPA25_QUESTION	CPA25_OPT1	CPA25 Good	Good to Excellent	1		CPA25_COMMENT
CPA25_QUESTION	CPA25_OPT2	CPA25 Acceptable	Acceptable	2		CPA25_COMMENT
CPA25_QUESTION	CPA25_OPT3	CPA25 Poor	Poor	3	CPA25_COMMENT	
CPA25_QUESTION	CPA25_OPT4	CPA25 Unable to Evaluate	Unable to Evaluate	4	CPA25_COMMENT	
CPA26_QUESTION	CPA26_OPT1	CPA26 Good	Good to Excellent	1		CPA26_COMMENT
CPA26_QUESTION	CPA26_OPT2	CPA26 Acceptable	Acceptable	2		CPA26_COMMENT
CPA26_QUESTION	CPA26_OPT3	CPA26 Poor	Poor	3	CPA26_COMMENT	
CPA26_QUESTION	CPA26_OPT4	CPA26 Unable to Evaluate	Unable to Evaluate	4	CPA26_COMMENT	
CPA27_QUESTION	CPA27_OPT1	CPA27 Good	Good to Excellent	1		CPA27_COMMENT
CPA27_QUESTION	CPA27_OPT2	CPA27 Acceptable	Acceptable	2		CPA27_COMMENT
CPA27_QUESTION	CPA27_OPT3	CPA27 Poor	Poor	3	CPA27_COMMENT	
CPA27_QUESTION	CPA27_OPT4	CPA27 Unable to Evaluate	Unable to Evaluate	4	CPA27_COMMENT	
CPA28_QUESTION	CPA28_OPT1	CPA28 Good	Good to Excellent	1		CPA28_COMMENT
CPA28_QUESTION	CPA28_OPT2	CPA28 Acceptable	Acceptable	2		CPA28_COMMENT
CPA28_QUESTION	CPA28_OPT3	CPA28 Poor	Poor	3	CPA28_COMMENT	
CPA28_QUESTION	CPA28_OPT4	CPA28 Unable to Evaluate	Unable to Evaluate	4	CPA28_COMMENT	
CPA29_QUESTION	CPA29_OPT1	CPA29 Yes	Yes	1	CPA29_COMMENT	
CPA29_QUESTION	CPA29_OPT2	CPA29 No	No	2		CPA29_COMMENT
CPA30_QUESTION	CPA30_OPT1	CPA30 Yes	Yes	1	CPA30_COMMENT	
CPA30_QUESTION	CPA30_OPT2	CPA30 None to My Knowledge	None to My Knowledge	2		CPA30_COMMENT
CPA31_QUESTION	CPA31_OPT1	CPA31 Yes	Yes	1	CPA31_COMMENT	
CPA31_QUESTION	CPA31_OPT2	CPA31 None to My Knowledge	None to My Knowledge	2		CPA31_COMMENT
CPA3_Q1	CPA3_Q1_OPT	Completed a residency	Completed a residency in your institution (or the institution with which you were both formerly affiliated)	1		
CPA3_Q2	CPA3_Q2_OPT	internship		1		
CPA3_Q3	CPA3_Q3_OPT	CPA3_Q3_OPT		1		
CPA3_Q4	CPA3_Q4_OPT	Was a staff member at your institution (or the institution with which you were both formerly affiliated)		1		
CPA3_Q5	CPA3_Q5_OPT	personal acquaintance		1		
CPA3_Q6	CPA3_Q6_OPT	Professional acquaintance		1		
CPA3_Q7	CPA3_Q7_OPT	Other		1		
CPA4_QUESTION	CPA4_YES	Yes	Yes	1	CPA4_COMMENT	
CPA4_QUESTION	CPA4_NO	No	No	2		CPA4_COMMENT
CPA6_QUESTION	CPA6_DAILY	Daily	Daily	1		
CPA6_QUESTION	CPA6_Weekly	Weekly	Weekly	2		
CPA6_QUESTION	CPA6_Monthly	Monthly	Monthly	3		
CPA6_QUESTION	CPA6_Infrequently	Infrequently	Infrequently	4		
CPA8_QUESTION	CPA8_OPT1	CPA8 Agree	Agree	1		CPA8_COMMENT
CPA8_QUESTION	CPA8_OPT2	CPA8 Disagree	Disagree	2	CPA8_COMMENT	
CPA8_QUESTION	CPA8_OPT3	CPA8 Unable	Unable to Evaluate	3	CPA8_COMMENT	
CPA9_QUESTION	CPA9_OPT1	Agree	Agree	1		CPA9_COMMENT
CPA9_QUESTION	CPA9_OPT2	Disagree	Disagree	2	CPA9_COMMENT	
CPA9_QUESTION	CPA9_OPT3	Unable to Evaluate	Unable to Evaluate	3	CPA9_COMMENT	
CRED_CAND_INFO_CURRENTLY_CREDENTIALED	CRED_CAND_INFO_CURRENTLY_CREDENTIALED_YES	Currently Credentialed Yes	Yes	1		
CRED_CAND_INFO_CURRENTLY_CREDENTIALED	CRED_CAND_INFO_CURRENTLY_CREDENTIALED_NO	Currently Credentialed No	No	2		
EDPOSTCERTIFY	EDPOSTCERTIFYCHECK	I certify that...		1		
ENROLL_CURRENTLY_CREDENTIALED	ENROLL_CURRENTLY_CREDENTIALED_YES	Currently Credentialed yes	Yes	1		
ENROLL_CURRENTLY_CREDENTIALED	ENROLL_CURRENTLY_CREDENTIALED_NO	Currently Credentialed no	No	2		
ENROLL_CURRENTLY_ENROLLED	ENROLL_CURRENTLY_ENROLLED_YES	Currently Enrolled Yes	Yes	1		
ENROLL_CURRENTLY_ENROLLED	ENROLL_CURRENTLY_ENROLLED_NO	Currently Enrolled No	No	2		
ENROLL_NEED_CREDENTIALING	ENROLL_NEED_CREDENTIALING_YES	Needs Credentialing yes	Yes	1		
ENROLL_NEED_CREDENTIALING	ENROLL_NEED_CREDENTIALING_NO	Needs Credentialing no	No	2		
ENROLL_ON_BILLING_TRACK	ENROLL_ON_BILLING_TRACK_YES	On Billing Track yes	Yes	1		
ENROLL_ON_BILLING_TRACK	ENROLL_ON_BILLING_TRACK_NO	On Billing Track no	No	2		
ET_PROGRAM_COMPLETE	ET_PROGRAM_COMPLETE_COMPLETE	Program Complete	Complete	1		ET_PROGRAM_COMPLETE_COMMENT
ET_PROGRAM_COMPLETE	ET_PROGRAM_COMPLETE_NOT_COMPLETE	Program Not Complete	Not Complete	2	ET_PROGRAM_COMPLETE_COMMENT	
PICCA_ADVERSE_QUESTION	PICCA_ADVERSE_OPT1	PICCA_ADVERSE yes	Yes	1	PICCA_ADVERSE_COMMENT	
PICCA_ADVERSE_QUESTION	PICCA_ADVERSE_OPT2	PICCA_ADVERSE No	No	2		PICCA_ADVERSE_COMMENT
PICCA_DRUG_ABUSE_QUESTION	PICCA_DRUG_ABUSE_OPT1	PICCA drug abuse yes	Yes	1	PICCA_DRUG_ABUSE_COMMENT	
PICCA_DRUG_ABUSE_QUESTION	PICCA_DRUG_ABUSE_OPT2	PICCA drug abuse no	No	2		PICCA_DRUG_ABUSE_COMMENT
PICCA_GOODSTANDING_QUESTION	PICCA_GOODSTANDING_OPT1	Picca Goodstanding Yes	Yes	1		
PICCA_GOODSTANDING_QUESTION	PICCA_GOODSTANDING_OPT2	Picca Goodstanding No	No	2		
PICCA_MALPRACTICE_QUESTION	PICCA_MALPRACTICE_OPT1	PICCA malpractice yes	Yes	1	PICCA_MALPRACTICE_COMMENT	
PICCA_MALPRACTICE_QUESTION	PICCA_MALPRACTICE_OPT2	PICCA malpractice no	No	2		PICCA_MALPRACTICE_COMMENT
PICCA_MEP_QUESTION1	PICCA_MEP_QUESTION1_OPT1	PICCA_MEP_QUESTION1 Exceeds	Exceeds Standards	1		PICCA_MEP_COMMENT1
PICCA_MEP_QUESTION1	PICCA_MEP_QUESTION1_OPT2	PICCA_MEP_QUESTION1 Meets	Meets Standards	2		PICCA_MEP_COMMENT1
PICCA_MEP_QUESTION1	PICCA_MEP_QUESTION1_OPT3	PICCA_MEP_QUESTION1 Does not Meet	Does Not Meet Standards	3	PICCA_MEP_COMMENT1	
PICCA_MEP_QUESTION10	PICCA_MEP_QUESTION10_OPT1	PICCA_MEP_QUESTION10 Exceeds	Exceeds Standards	1		PICCA_MEP_COMMENT10
PICCA_MEP_QUESTION10	PICCA_MEP_QUESTION10_OPT2	PICCA_MEP_QUESTION10 Meets	Meets Standards	2		PICCA_MEP_COMMENT10
PICCA_MEP_QUESTION10	PICCA_MEP_QUESTION10_OPT3	PICCA_MEP_QUESTION10 Does not Meet	Does Not Meet Standards	3	PICCA_MEP_COMMENT10	
PICCA_MEP_QUESTION11	PICCA_MEP_QUESTION11_OPT1	PICCA_MEP_QUESTION11 Exceeds	Exceeds Standards	1		PICCA_MEP_COMMENT11
PICCA_MEP_QUESTION11	PICCA_MEP_QUESTION11_OPT2	PICCA_MEP_QUESTION11 Meets	Meets Standards	2		PICCA_MEP_COMMENT11
PICCA_MEP_QUESTION11	PICCA_MEP_QUESTION11_OPT3	PICCA_MEP_QUESTION11 Does not Meet	Does Not Meet Standards	3	PICCA_MEP_COMMENT11	
PICCA_MEP_QUESTION12	PICCA_MEP_QUESTION12_OPT1	PICCA_MEP_QUESTION12 Exceeds	Exceeds Standards	1		PICCA_MEP_COMMENT12
PICCA_MEP_QUESTION12	PICCA_MEP_QUESTION12_OPT2	PICCA_MEP_QUESTION12 Meets	Meets Standards	2		PICCA_MEP_COMMENT12
PICCA_MEP_QUESTION12	PICCA_MEP_QUESTION12_OPT3	PICCA_MEP_QUESTION12 Does not Meet	Does Not Meet Standards	3	PICCA_MEP_COMMENT12	
PICCA_MEP_QUESTION13	PICCA_MEP_QUESTION13_OPT1	PICCA_MEP_QUESTION13 Exceeds	Exceeds Standards	1		PICCA_MEP_COMMENT13
PICCA_MEP_QUESTION13	PICCA_MEP_QUESTION13_OPT2	PICCA_MEP_QUESTION13 Meets	Meets Standards	2		PICCA_MEP_COMMENT13
PICCA_MEP_QUESTION13	PICCA_MEP_QUESTION13_OPT3	PICCA_MEP_QUESTION13 Does not Meet	Does Not Meet Standards	3	PICCA_MEP_COMMENT13	
PICCA_MEP_QUESTION14	PICCA_MEP_QUESTION14_OPT1	PICCA_MEP_QUESTION14 Exceeds	Exceeds Standards	1		PICCA_MEP_COMMENT14
PICCA_MEP_QUESTION14	PICCA_MEP_QUESTION14_OPT2	PICCA_MEP_QUESTION14 Meets	Meets Standards	2		PICCA_MEP_COMMENT14
PICCA_MEP_QUESTION14	PICCA_MEP_QUESTION14_OPT3	PICCA_MEP_QUESTION14 Does not Meet	Does Not Meet Standards	3	PICCA_MEP_COMMENT14	
PICCA_MEP_QUESTION2	PICCA_MEP_QUESTION2_OPT1	PICCA_MEP_QUESTION2 Exceeds	Exceeds Standards	1		PICCA_MEP_COMMENT2
PICCA_MEP_QUESTION2	PICCA_MEP_QUESTION2_OPT2	PICCA_MEP_QUESTION2 Meets	Meets Standards	2		PICCA_MEP_COMMENT2
PICCA_MEP_QUESTION2	PICCA_MEP_QUESTION2_OPT3	PICCA_MEP_QUESTION2 Does not Meet	Does Not Meet Standards	3	PICCA_MEP_COMMENT2	
PICCA_MEP_QUESTION3	PICCA_MEP_QUESTION3_OPT1	PICCA_MEP_QUESTION3 Exceeds	Exceeds Standards	1		PICCA_MEP_COMMENT3
PICCA_MEP_QUESTION3	PICCA_MEP_QUESTION3_OPT2	PICCA_MEP_QUESTION3 Meets	Meets Standards	2		PICCA_MEP_COMMENT3
PICCA_MEP_QUESTION3	PICCA_MEP_QUESTION3_OPT3	PICCA_MEP_QUESTION3 Does not Meet	Does Not Meet Standards	3	PICCA_MEP_COMMENT3	
PICCA_MEP_QUESTION4	PICCA_MEP_QUESTION4_OPT1	PICCA_MEP_QUESTION4 Exceeds	Exceeds Standards	1		PICCA_MEP_COMMENT4
PICCA_MEP_QUESTION4	PICCA_MEP_QUESTION4_OPT2	PICCA_MEP_QUESTION4 Meets	Meets Standards	2		PICCA_MEP_COMMENT4
PICCA_MEP_QUESTION4	PICCA_MEP_QUESTION4_OPT3	PICCA_MEP_QUESTION4 Does not Meet	Does Not Meet Standards	3	PICCA_MEP_COMMENT4	
PICCA_MEP_QUESTION5	PICCA_MEP_QUESTION5_OPT1	PICCA_MEP_QUESTION5 Exceeds	Exceeds Standards	1		PICCA_MEP_COMMENT5
PICCA_MEP_QUESTION5	PICCA_MEP_QUESTION5_OPT2	PICCA_MEP_QUESTION5 Meets	Meets Standards	2		PICCA_MEP_COMMENT5
PICCA_MEP_QUESTION5	PICCA_MEP_QUESTION5_OPT3	PICCA_MEP_QUESTION5 Does not Meet	Does Not Meet Standards	3	PICCA_MEP_COMMENT5	
PICCA_MEP_QUESTION6	PICCA_MEP_QUESTION6_OPT1	PICCA_MEP_QUESTION6 Exceeds	Exceeds Standards	1		PICCA_MEP_COMMENT6
PICCA_MEP_QUESTION6	PICCA_MEP_QUESTION6_OPT2	PICCA_MEP_QUESTION6 Meets	Meets Standards	2		PICCA_MEP_COMMENT6
PICCA_MEP_QUESTION6	PICCA_MEP_QUESTION6_OPT3	PICCA_MEP_QUESTION6 Does not Meet	Does Not Meet Standards	3	PICCA_MEP_COMMENT6	
PICCA_MEP_QUESTION7	PICCA_MEP_QUESTION7_OPT1	PICCA_MEP_QUESTION7 Exceeds	Exceeds Standards	1		PICCA_MEP_COMMENT7
PICCA_MEP_QUESTION7	PICCA_MEP_QUESTION7_OPT2	PICCA_MEP_QUESTION7 Meets	Meets Standards	2		PICCA_MEP_COMMENT7
PICCA_MEP_QUESTION7	PICCA_MEP_QUESTION7_OPT3	PICCA_MEP_QUESTION7 Does not Meet	Does Not Meet Standards	3	PICCA_MEP_COMMENT7	
PICCA_MEP_QUESTION8	PICCA_MEP_QUESTION8_OPT1	PICCA_MEP_QUESTION8 Exceeds	Exceeds Standards	1		PICCA_MEP_COMMENT8
PICCA_MEP_QUESTION8	PICCA_MEP_QUESTION8_OPT2	PICCA_MEP_QUESTION8 Meets	Meets Standards	2		PICCA_MEP_COMMENT8
PICCA_MEP_QUESTION8	PICCA_MEP_QUESTION8_OPT3	PICCA_MEP_QUESTION8 Does not Meet	Does Not Meet Standards	3	PICCA_MEP_COMMENT8	
PICCA_MEP_QUESTION9	PICCA_MEP_QUESTION9_OPT1	PICCA_MEP_QUESTION9 Exceeds	Exceeds Standards	1		PICCA_MEP_COMMENT9
PICCA_MEP_QUESTION9	PICCA_MEP_QUESTION9_OPT2	PICCA_MEP_QUESTION9 Meets	Meets Standards	2		PICCA_MEP_COMMENT9
PICCA_MEP_QUESTION9	PICCA_MEP_QUESTION9_OPT3	PICCA_MEP_QUESTION9 Does not Meet	Does Not Meet Standards	3	PICCA_MEP_COMMENT9	
PICCA_OVERALL_ASSESS	PICCA_OVERALL_OPT1	PICCA overall Satisfactory	Satisfactory	1		PICCA_OVERALL_COMMENT
PICCA_OVERALL_ASSESS	PICCA_OVERALL_OPT2	PICCA overall Unatisfactory	Unatisfactory	2	PICCA_OVERALL_COMMENT	
PICCA_OVERALL_ASSESS	PICCA_OVERALL_OPT3	PICCA overall Unable to Evaluate	Unable to Evaluate	3	PICCA_OVERALL_COMMENT	
PICCA_OVERALL_QUESTION	PICCA_OVERALL_REC_OPT1	PICCA Recommended highly without reservation	Recommended highly without reservation	1		PICCA_NOLIKEYATALL_COMMENT
PICCA_OVERALL_QUESTION	PICCA_OVERALL_REC_OPT2	PICCA Recommended as qualified and competent	Recommended as qualified and competent	2		PICCA_NOLIKEYATALL_COMMENT
PICCA_OVERALL_QUESTION	PICCA_OVERALL_REC_OPT3	Recommended with some reservation	Recommended with some reservation	3	PICCA_NOLIKEYATALL_COMMENT	
PICCA_OVERALL_QUESTION	PICCA_OVERALL_REC_OPT4	PICCA Do not recommend	Do not recommend	4	PICCA_NOLIKEYATALL_COMMENT	
PICCA_PICTURE_QUESTION	PICCA_PICTURE_OPT1	PICCA_PICTURE yes	Yes	1		
PICCA_PICTURE_QUESTION	PICCA_PICTURE_OPT2	PICCA_PICTURE no	No	2		
PICCA_SUSPENDED_QUESTION	PICCA_SUSPENDED_OPT1	PICCA_SUSPENDED yes	Yes	1	PICCA_SUSPENDED_COMMENT	
PICCA_SUSPENDED_QUESTION	PICCA_SUSPENDED_OPT2	PICCA_SUSPENDED no	No	2		PICCA_SUSPENDED_COMMENT
PI_BIRTH_COUNTRY	PI_BIRTH_COUNTRY|UnitedStatesofAmerica	Show birth state in the case of USA. GO USA!!!	United States of America	1	PI_BIRTH_STATE	
PI_GENDER	PI_GENDER_OPT_M	Gender - Male	Male	1		
PI_GENDER	PI_GENDER_OPT_F	Gender - Female	Female	2		
PI_HAS_SSN	PI_HAS_SSN_OPT_Y	Has SSN - Yes	Yes	1	PI_SSN	
PI_HAS_SSN	PI_HAS_SSN_OPT_N	Has SSN - No	No	2		PI_SSN
PI_LIVING_IN_US	PI_LIVING_IN_US_OPT_Y	Living in US - Yes	Yes	1		
PI_LIVING_IN_US	PI_LIVING_IN_US_OPT_N	Living in US - No	No	2		
PI_NAME_MATCH	PI_NAME_MATCH_OPT_Y	Name Match - Yes	Yes	1		
PI_NAME_MATCH	PI_NAME_MATCH_OPT_N	Name Match - No	No	2		
PI_US_CITIZEN	PI_US_CITIZEN_OPT_Y	US Citizen - Yes	Yes	1		
PI_US_CITIZEN	PI_US_CITIZEN_OPT_N	US Citizen - No	No	2		
RFP_Q00	RFP_Q00_OPT_Y	Job Posting Waiver - Yes	Yes	1	RFP_Q00_Y	
RFP_Q00	RFP_Q00_OPT_N	Job Posting Waiver - No	No	2		RFP_Q00_Y
RFP_Q03	RFP_Q03_OPT_Y	Discussed Dean - Yes	Yes	1		
RFP_Q03	RFP_Q03_OPT_N	Discussed Dean - No	No	2		
RFP_Q04	RFP_Q04_OPT_Y	Financial Ability - Yes	Yes	1		
RFP_Q04	RFP_Q04_OPT_N	Financial Ability - No	No	2		
RFP_Q05	RFP_Q05_OPT_Y	Budget - Yes	Yes	1		
RFP_Q05	RFP_Q05_OPT_N	Budget - No	No	2		
RFP_Q06	RFP_Q06_OPT_Y	Office Space - Yes	Yes	1	RFP_Q06_Y	RFP_Q06_N
RFP_Q06	RFP_Q06_OPT_N	Office Space - No	No	2	RFP_Q06_N	RFP_Q06_Y
RFP_Q07	RFP_Q07_OPT_NA	Research Space - N/A	Not Required	1		"RFP_Q07_Y,RFP_Q07_N"
RFP_Q07	RFP_Q07_OPT_Y	Research Space - Yes	Yes	2	RFP_Q07_Y	RFP_Q07_N
RFP_Q07	RFP_Q07_OPT_N	Research Space - No	No	3	RFP_Q07_N	RFP_Q07_Y
RFP_Q08	RFP_Q08_OPT_NA	Clinial Privileges - N/A	Not Applicable	1		RFP_Q08_Y
RFP_Q08	RFP_Q08_OPT_Y	Clinial Privileges - Yes	Yes	2	RFP_Q08_Y	
RFP_Q08	RFP_Q08_OPT_N	Clinial Privileges - No	No	3		RFP_Q08_Y
RFP_Q09	RFP_Q09_OPT_NA	Delineation Document - N/A	Not Applicable	1		RFP_Q09_N
RFP_Q09	RFP_Q09_OPT_Y	Delineation Document - Yes	Yes	2		RFP_Q09_N
RFP_Q09	RFP_Q09_OPT_N	Delineation Document - No	No	3	RFP_Q09_N	
RFP_Q11	RFP_Q11_OPT_Y	Operating Room Time - Yes	Yes	1	RFP_Q11_Y	
RFP_Q11	RFP_Q11_OPT_N	Operating Room Time - No	No	2		RFP_Q11_Y
RFP_Q12	RFP_Q12_OPT_Y	Clinical Space - Yes	Yes	1	RFP_Q12_Y	
RFP_Q12	RFP_Q12_OPT_N	Clinical Space - No	No	2		RFP_Q12_Y
RFP_Q21	RFP_Q21_OPT_Y	Secondary Salary Effort - Yes	Yes	1		RFP_Q21_N
RFP_Q21	RFP_Q21_OPT_N	Secondary Salary Effort - No	No	2	RFP_Q21_N	
RFP_Q22	RFP_Q22_OPT_Y	Secondary Clinial Privileges - Yes	Yes	1	RFP_Q22_Y	
RFP_Q22	RFP_Q22_OPT_N	Secondary Clinial Privileges - No	No	2		RFP_Q22_Y
SQ10_RADIO	SQ10_RADIO_YES	SQ10_RADIO_YES	Yes	1	SQ10_COMMENT	
SQ10_RADIO	SQ10_RADIO_NO	SQ10_RADIO_NO	No	2		SQ10_COMMENT
SQ11_RADIO	SQ11_RADIO_YES	SQ11_RADIO_YES	Yes	1	SQ11_COMMENT	
SQ11_RADIO	SQ11_RADIO_NO	SQ11_RADIO_NO	No	2		SQ11_COMMENT
SQ12_RADIO	SQ12_RADIO_YES	SQ12_RADIO_YES	Yes	1	SQ12_COMMENT	
SQ12_RADIO	SQ12_RADIO_NO	SQ12_RADIO_NO	No	2		SQ12_COMMENT
SQ13_RADIO	SQ13_RADIO_YES	SQ13_RADIO_YES	Yes	1	SQ13_COMMENT	
SQ13_RADIO	SQ13_RADIO_NO	SQ13_RADIO_NO	No	2		SQ13_COMMENT
SQ14_RADIO	SQ14_RADIO_YES	SQ14_RADIO_YES	Yes	1	SQ14_COMMENT	
SQ14_RADIO	SQ14_RADIO_NO	SQ14_RADIO_NO	No	2		SQ14_COMMENT
SQ15_RADIO	SQ15_RADIO_YES	SQ15_RADIO_YES	Yes	1	SQ15_COMMENT	
SQ15_RADIO	SQ15_RADIO_NO	SQ15_RADIO_NO	No	2		SQ15_COMMENT
SQ1_RADIO	SQ1_YES	SQ1_YES	Yes	1	SQ1_COMMENT	
SQ1_RADIO	SQ1_NO	SQ1_NO	No	2		SQ1_COMMENT
SQ2_RADIO	SQ2_RADIO_YES	SQ2_RADIO_YES	Yes	1	SQ2_COMMENT	
SQ2_RADIO	SQ2_RADIO_NO	SQ2_RADIO_NO	No	2		SQ2_COMMENT
SQ3_RADIO	SQ3_RADIO_YES	SQ3_RADIO_YES	Yes	1	SQ3_COMMENT	
SQ3_RADIO	SQ3_RADIO_NO	SQ3_RADIO_NO	No	2		SQ3_COMMENT
SQ4_RADIO	SQ4_RADIO_YES	SQ4_RADIO_YES	Yes	1	SQ4_COMMENT	
SQ4_RADIO	SQ4_RADIO_NO	SQ4_RADIO_NO	No	2		SQ4_COMMENT
SQ5_RADIO	SQ5_RADIO_YES	SQ5_RADIO_YES	Yes	1	SQ5_COMMENT	
SQ5_RADIO	SQ5_RADIO_NO	SQ5_RADIO_NO	No	2		SQ5_COMMENT
SQ6_RADIO	SQ6_RADIO_YES	SQ6_RADIO_YES	Yes	1	SQ6_COMMENT	
SQ6_RADIO	SQ6_RADIO_NO	SQ6_RADIO_NO	No	2		SQ6_COMMENT
