#code	descr	display_text	cols_offset	cols_label	repeating	repeating_table	required	wrap	filler	children
										
CPA19_SUBGROUP	CPA19_SUBGROUP		0	12	FALSE	FALSE	FALSE	TRUE	FALSE	"CPA19_QUESTION,CPA19_COMMENT"
CPA20_SUBGROUP	CPA20_SUBGROUP		0	12	FALSE	FALSE	FALSE	TRUE	FALSE	"CPA20_QUESTION,CPA20_COMMENT"
CPA21_GROUP	CPA21_GROUP		0	12	FALSE	FALSE	FALSE	TRUE	FALSE	"CPA21_QUESTION,CPA21_COMMENT"
CPA22_SUBGROUP	CPA22_SUBGROUP		0	12	FALSE	FALSE	FALSE	TRUE	FALSE	"CPA22_QUESTION,CPA22_COMMENT"
CPA23_SUBGROUP	CPA23_SUBGROUP		0	12	FALSE	FALSE	FALSE	TRUE	FALSE	"CPA23_QUESTION,CPA23_COMMENT"
CPA24_SUBGROUP	CPA24_SUBGROUP		0	12	FALSE	FALSE	FALSE	TRUE	FALSE	"CPA24_QUESTION,CPA24_COMMENT"
CPA25_SUBGROUP	CPA25_SUBGROUP		0	12	FALSE	FALSE	FALSE	TRUE	FALSE	"CPA25_QUESTION,CPA25_COMMENT"
CPA26_SUBGROUP	CPA26_SUBGROUP		0	12	FALSE	FALSE	FALSE	TRUE	FALSE	"CPA26_QUESTION,CPA26_COMMENT"
CPA27_SUBGROUP	CPA27_SUBGROUP		0	12	FALSE	FALSE	FALSE	TRUE	FALSE	"CPA27_QUESTION,CPA27_COMMENT"
CPA28_SUBGROUP	CPA28_SUBGROUP		0	12	FALSE	FALSE	FALSE	TRUE	FALSE	"CPA28_QUESTION,CPA28_COMMENT"
CPA29_SUBGROUP	CPA29_SUBGROUP		0	12	FALSE	FALSE	FALSE	TRUE	FALSE	"CPA29_QUESTION,CPA29_COMMENT"
CPA30_SUBGROUP	CPA30_SUBGROUP		0	12	FALSE	FALSE	FALSE	TRUE	FALSE	"CPA30_QUESTION,CPA30_COMMENT"
CPA31_SUBGROUP	CPA31_SUBGROUP		0	12	FALSE	FALSE	FALSE	TRUE	FALSE	"CPA31_QUESTION,CPA31_COMMENT"
CPA3_GROUP	CPA3 relationship type	<b>Check your type of relationship with the candidate (Check all that apply):</b>	1	11	FALSE	FALSE	FALSE	TRUE	FALSE	"CPA3_checkbox_group,CPA3_Q7_Explanation"
CPA3_checkbox_group	wrapper to make checkbox group required		0	12	FALSE	FALSE	TRUE	FALSE	FALSE	"CPA3_Q1,CPA3_Q2,CPA3_Q3,CPA3_Q4,CPA3_Q5,CPA3_Q6,CPA3_Q7"
CPA4_GROUP	are you financially related Group		0	12	FALSE	FALSE	FALSE	TRUE	FALSE	"CPA4_QUESTION,CPA4_COMMENT"
CPA5_GROUP	CPA5_GROUP	<b>During what time period did you have opportunity to observe the candidate's clinical performance?</b>	1	11	FALSE	FALSE	FALSE	TRUE	FALSE	"CPA5_Q1,CPA5_Q2"
CPA8_Filler	<u><b>Patient Care</b></u>	<u><b>Patient Care</b></u>	0	12	FALSE	FALSE	FALSE	FALSE	TRUE	
CPA8_GROUP	Patient Care group		0	12	FALSE	FALSE	FALSE	FALSE	FALSE	"CPA8_Filler,CPA8_SUBGROUP"
CPA8_SUBGROUP	container to wrap questions and comments		0	12	FALSE	FALSE	FALSE	TRUE	FALSE	"CPA8_QUESTION,CPA8_COMMENT"
CPA9_Filler	CPA9 Filler	<b><u>Medical/Clinical Knowledge</u></b>	0	12	FALSE	FALSE	FALSE	FALSE	TRUE	
CPA9_GROUP	Medical/Clinical Knowledge Group		0	12	FALSE	FALSE	FALSE	FALSE	FALSE	"CPA9_Filler,CPA9_SUBGROUP"
CPA9_SUBGROUP	Subgrouping for CPA9		0	12	FALSE	FALSE	FALSE	TRUE	FALSE	"CPA9_QUESTION,CPA9_COMMENT"
CPAHeader	Clinical Privileges Assessment Header	"Your answers to these questions will be used to evaluate the candidate's <b><u>clinical</u></b> competence and qualifications, not his or her research, teaching, or other competence and qualifications, which may be different. <b><u>PLEASE RESPOND TO ALL QUESTIONS - YOU MUST HAVE CLINICAL KNOWLEDGE OF THIS APPLICANT WITHIN THE LAST 18 MONTHS TO COMPLETE THIS EVALUATION.</u></b>"	0	12	FALSE	FALSE	FALSE	FALSE	TRUE	
CPA_ADDITIONALQUESTIONSFiller	CPA_ADDITIONALQUESTIONSFiller	<br/><center><b>ADDITIONAL QUESTIONS</b></center><br/>	0	12	FALSE	FALSE	FALSE	FALSE	TRUE	
CPA_ADDITIONALQUESTIONSGROUP	Additional Question		0	12	FALSE	FALSE	FALSE	FALSE	FALSE	"CPA_ADDITIONALQUESTIONSFiller,CPA29_SUBGROUP,CPA30_SUBGROUP,CPA31_SUBGROUP"
CPA_CLINICALJUDGEFiler	Clinical Judgement Filler	<b><u>Clinical Judgement</u></b>	0	12	FALSE	FALSE	FALSE	FALSE	TRUE	
CPA_CLINICALJUDGEMENTGROUP	Clinical Judgement Group		0	12	FALSE	FALSE	FALSE	FALSE	FALSE	"CPA_CLINICALJUDGEFiler,CPA17_SUBGROUP,CPA18_SUBGROUP,CPA19_SUBGROUP,CPA20_SUBGROUP"
CPA_COMMSKILLSFiller	Communication Skills Filler	<b><u>Communication Skills</u></b>	0	12	FALSE	FALSE	FALSE	FALSE	TRUE	
CPA_COMSKILLSGROUP	Communication Skills Group		0	12	FALSE	FALSE	FALSE	FALSE	FALSE	"CPA_COMMSKILLSFiller,CPA21_GROUP"
CPA_CONTACT	"Contact info for the evaluator, which we already Know"		0	12	FALSE	FALSE	FALSE	FALSE	FALSE	"CPA_CONTACTFiller,CPA_CONTACTGROUP"
CPA_CONTACTFiller	CPA_CONTACTFiller	<center><b>Contact Info</b></center>	0	12	FALSE	FALSE	FALSE	FALSE	TRUE	
CPA_CONTACTGROUP	CPA_CONTACTGROUP		0	12	FALSE	FALSE	FALSE	TRUE	FALSE	"CPA_CONTACT_NAME,CPA_CONTACT_TITLE,CPA_CONTACT_INSTITUTION,CPA_CONTACT_ADDRESS,CPA_CONTACT_CITY,CPA_CONTACT_STATE,CPA_CONTACT_POSTAL,CPA_CONTACT_COUNTRY,CPA_CONTACT_PHONE,CPA_CONTACT_EMAIL"
CPA_FINAL	final blurb	"If you would like to discuss this candidate with someone from our organization, please call Jeanette Schuler, Director, Medical Staff Services at (734) 936-4258, or James Ellis, M.D., Chair, Credentialing Committee at (734) 936-4481 at your convenience."	0	12	FALSE	FALSE	FALSE	TRUE	TRUE	
CPA_GENERAL	General Comments		0	12	FALSE	FALSE	FALSE	TRUE	FALSE	CPA_GENERAL_COMMENTS
CPA_GENERALQUALBLURB	General Qualifier Text	"<br/><center><b>GENERAL QUALIFICATIONS FOR MEDICAL STAFF CREDENTIALING</b><br/> Please rate the following. If you do not have adequate knowledge to answer a particular question, indicate ""Unable to Evaluate"".</center><br/>"	0	12	FALSE	FALSE	FALSE	FALSE	TRUE	
CPA_INTERPERSONALFiller	CPA_INTERPERSONALFiller	<b><u>Interpersonal Skills</b></u>	0	12	FALSE	FALSE	FALSE	FALSE	TRUE	
CPA_INTERPERSONALGROUP	Interpersonal Skills Group		0	12	FALSE	FALSE	FALSE	FALSE	FALSE	"CPA_INTERPERSONALFiller,CPA22_SUBGROUP,CPA23_SUBGROUP,CPA24_SUBGROUP"
CPA_MEDKNOWLEDGEFiller	Medical/Clinical Knowledge Filler	<b><u>Medical/Clinical Knowledge</u></b>	0	12	FALSE	FALSE	FALSE	FALSE	TRUE	
CPA_MEDKNOWLEDGEGROUP	Medical/Clinical Knowledge		0	12	FALSE	FALSE	FALSE	FALSE	FALSE	"CPA_MEDKNOWLEDGEFiller,CPA14_SUBGROUP,CPA15_SUBGROUP,CPA16_SUBGROUP"
CPA_PROFESSIONALISMGROUP	Professionalism Group		0	12	FALSE	FALSE	FALSE	FALSE	FALSE	"CPA_PROFFESIONALISMFiller,CPA25_SUBGROUP,CPA26_SUBGROUP,CPA27_SUBGROUP,CPA28_SUBGROUP"
CPA_PROFFESIONALISMFiller	CPA_PROFFESIONALISMFiller	<b><u>Professionalism</u></b>	0	12	FALSE	FALSE	FALSE	FALSE	TRUE	
CPA_SPECIFICQUALBLURB	Specific Qualifications	"<br/><center><b>SPECIFIC QUALIFICATIONS FOR CLINICAL PRIVILEGES</b></br>Please rate the following. If you do not have adequate knowledge to answer a particular question, indicate ""Unable to Evaluate"".</center><br/>"	0	12	FALSE	FALSE	FALSE	FALSE	TRUE	
SQ10Group	SQ10 Group		8	1	FALSE	FALSE	FALSE	TRUE	FALSE	"SQ10_RADIO,SQ10_COMMENT"
SQ11Group	SQ11 Group		8	1	FALSE	FALSE	FALSE	TRUE	FALSE	"SQ11_RADIO,SQ11_COMMENT"
SQ12Group	SQ12 Group		8	1	FALSE	FALSE	FALSE	TRUE	FALSE	"SQ12_RADIO,SQ12_COMMENT"
SQ13Group	SQ13 Group		8	1	FALSE	FALSE	FALSE	TRUE	FALSE	"SQ13_RADIO,SQ13_COMMENT"
SQ14Group	SQ14 Group		8	1	FALSE	FALSE	FALSE	TRUE	FALSE	"SQ14_RADIO,SQ14_COMMENT"
SQ15Group	SQ15 Group		8	1	FALSE	FALSE	FALSE	TRUE	FALSE	"SQ15_RADIO,SQ15_COMMENT"
SQ1Group	SQ1 Group		8	1	FALSE	FALSE	FALSE	TRUE	FALSE	"SQ1_RADIO,SQ1_COMMENT"
SQ2Group	SQ2 Group		8	1	FALSE	FALSE	FALSE	TRUE	FALSE	"SQ2_RADIO,SQ2_COMMENT"
SQ3Group	SQ3 Group		8	1	FALSE	FALSE	FALSE	TRUE	FALSE	"SQ3_RADIO,SQ3_COMMENT"
SQ4Group	SQ4 Group		8	1	FALSE	FALSE	FALSE	TRUE	FALSE	"SQ4_RADIO,SQ4_COMMENT"
SQ5Group	SQ5 Group		8	1	FALSE	FALSE	FALSE	TRUE	FALSE	"SQ5_RADIO,SQ5_COMMENT"
SQ6Group	SQ6 Group		8	1	FALSE	FALSE	FALSE	TRUE	FALSE	"SQ6_RADIO,SQ6_COMMENT"
SQ7Group	SQ7 Group		8	1	FALSE	FALSE	FALSE	TRUE	FALSE	"SQ7_RADIO,SQ7_COMMENT"
SQ8Group	SQ8 Group		8	1	FALSE	FALSE	FALSE	TRUE	FALSE	"SQ8_RADIO,SQ8_COMMENT"
SQ9Group	SQ9 Group		8	1	FALSE	FALSE	FALSE	TRUE	FALSE	"SQ9_RADIO,SQ9_COMMENT"
clinicalPrivilegesAssessment	Clinical Privileges Assessment		0	12	FALSE	FALSE	FALSE	FALSE	FALSE	"CPAHeader,CPA1_QUESTION,CPA2_QUESTION,CPA3_GROUP,CPA4_GROUP,CPA5_GROUP,CPA6_QUESTION,CPA_GENERALQUALBLURB,CPA8_GROUP,CPA9_GROUP,CPA11_GROUP,CPA10_GROUP,CPA12_GROUP,CPA13_GROUP,CPA_SPECIFICQUALBLURB,CPA_MEDKNOWLEDGEGROUP,CPA_CLINICALJUDGEMENTGROUP,CPA_COMSKILLSGROUP,CPA_INTERPERSONALGROUP,CPA_PROFESSIONALISMGROUP,CPA_ADDITIONALQUESTIONSGROUP,CPA_GENERAL,CPA_CONTACT,CPA_FINAL"
credBoardCert	Board Certification		0	12	FALSE	FALSE	FALSE	FALSE	FALSE	"credBoardCertTable,credBoardCertGroup"
credBoardCertGroup	main board certification group	Board Certification	0	12	TRUE	FALSE	FALSE	FALSE	FALSE	"BC_SPECIALTY,BC_BOARD,BC_CERTNO,BC_LIFETIME_CERT,BC_BEGIN,BC_END"
credBoardCertTable	Board Certification Table		2	8	FALSE	TRUE	FALSE	FALSE	FALSE	"BC_SPECIALTY,BC_BOARD,BC_CERTNO,BC_BEGIN,BC_END"
credEduTraining	Education & Training		0	12	FALSE	FALSE	FALSE	FALSE	FALSE	"credEduTrainingTable,credEduTrainingGroup"
credEduTrainingCompleteSection	credEduTrainingCompleteSection	"If you did not complete this program, please indicate below."	2	8	FALSE	FALSE	FALSE	FALSE	FALSE	"ET_PROGRAM_COMPLETE,ET_PROGRAM_COMPLETE_COMMENT"
credEduTrainingGroup	main education and training group	Education & Training	0	12	TRUE	FALSE	TRUE	FALSE	FALSE	"ET_PROGRAM,ET_DEGREE,ET_SPECIALITY,ET_DIRECTOR_NAME,ET_DIRECTOR_EMAIL,ET_INSTITUTION,ET_BEGIN_DATE,ET_END_DATE,ET_ADDRESSLINES,ET_CITY,ET_STATE,ET_COUNTRY,ET_ZIP,ET_PROGRAM_COMPLETE,ET_PROGRAM_COMPLETE_COMMENT"
credEduTrainingTable	Education Training Table		2	8	FALSE	TRUE	FALSE	FALSE	FALSE	"ET_PROGRAM,ET_DEGREE,ET_BEGIN_DATE,ET_END_DATE"
credLiabilityInsurance	Liability Insurance		0	12	FALSE	FALSE	FALSE	FALSE	FALSE	"credLiabilityInsuranceTable,credLiabilityInsuranceGroup"
credLiabilityInsuranceGroup	main liability insurance group	Liability Insurance	0	12	TRUE	FALSE	TRUE	FALSE	FALSE	"LIAB_POLICY,LIAB_CARRIER,LIAB_ADDRESS_LINES,LIAB_CITY,LIAB_STATE,LIAB_COUNTRY,LIAB_ZIP,LIAB_BEGIN,LIAB_END"
credLiabilityInsuranceTable	Liability Insurance Table		2	8	FALSE	TRUE	FALSE	FALSE	FALSE	"LIAB_POLICY,LIAB_CARRIER,LIAB_BEGIN,LIAB_END"
credLicensure	Licensure		0	12	FALSE	FALSE	FALSE	FALSE	FALSE	"credLicensureTable,credLicensureGroup"
credLicensureGroup	main licensure group	Licensure	0	12	TRUE	FALSE	FALSE	FALSE	FALSE	"LI_LICENSE_TYPE,LI_LICENSE_NUM,LI_STATE,LI_INPROGRESS,LI_END"
credLicensureTable	Licensure Table		2	8	FALSE	TRUE	FALSE	FALSE	FALSE	"LI_LICENSE_TYPE,LI_LICENSE_NUM,LI_INPROGRESS,LI_END"
credSupplementalQuestions	Supplemental Questions		0	12	FALSE	FALSE	TRUE	FALSE	FALSE	"SQ1Group,SQ2Group,SQ3Group,SQ4Group,SQ5Group,SQ6Group,SQ7Group,SQ8Group,SQ9Group,SQ10Group,SQ11Group,SQ12Group,SQ13Group,SQ14Group,SQ15Group"
credWorkExp	Work Experience		0	12	FALSE	FALSE	FALSE	FALSE	FALSE	"credWorkExpTable,credWorkExpGroup"
credWorkExpGroup	main work experience group	Work Experience	0	12	TRUE	FALSE	TRUE	FALSE	FALSE	"WE_TYPE,WE_TITLE,WE_DESCRIPTION,WE_INST_NAME,WE_START,WE_END,WE_INST_ADDRESS_LINES,WE_INST_CITY,WE_INST_STATE,WE_INST_COUNTRY,WE_INST_ZIP"
credWorkExpTable	Work Experience Table		2	8	FALSE	TRUE	FALSE	FALSE	FALSE	"WE_TYPE,WE_TITLE,WE_START,WE_END"
cred_cand_info	Credentialing Candidate Info		0	12	FALSE	FALSE	FALSE	FALSE	FALSE	"CRED_CAND_INFO_PRIMARY_PRIV_DEPT,CRED_CAND_INFO_SECONDARY_PRIV_DEPT,CRED_CAND_INFO_CLINICAL_ARENA"
edPostApplicantInfo	applicant info	placeholder	0	11	FALSE	FALSE	FALSE	FALSE	TRUE	
edPostApplicantName	applicant name	placeholder	1	11	FALSE	FALSE	FALSE	FALSE	TRUE	
edPostDOB	date of birth	placeholder	1	11	FALSE	FALSE	FALSE	FALSE	TRUE	
edPostDateofAdmit	admission date	placeholder	1	11	FALSE	FALSE	FALSE	FALSE	TRUE	
edPostDeanComplete	completion text for dean	placeholder	0	11	FALSE	FALSE	FALSE	FALSE	TRUE	
edPostEvaluatorWrapper	wrap evaluator info		0	12	FALSE	FALSE	FALSE	TRUE	FALSE	"edPostInstAddress,EDPOSTCERTIFY,EDPOSTSTART,EDPOSTEND,EDPOSTDEGREE,EDPOSTDEGREEDATE,EDPOSTNAME,EDPOSTEMAIL,EDPOSTPHONE"
edPostGradOpeningBlurb	Opening forray	<c><b><u>CERTIFICATION OF MEDICAL EDUCATION FOR MEDICAL SCHOOL GRADUATES</u></b></c>	0	12	FALSE	FALSE	FALSE	FALSE	TRUE	
edPostGradTraining	Education and Post Graduate Training		0	12	FALSE	FALSE	FALSE	FALSE	FALSE	"edPostGradOpeningBlurb,edPostApplicantInfo,edPostGuidoGood,edPostDeanComplete,edPostEvaluatorWrapper"
edPostGuidoGood	Guido is good	placeholder	0	11	FALSE	FALSE	FALSE	FALSE	TRUE	
edPostInstAddress	institution address	placeholder	1	11	FALSE	FALSE	FALSE	FALSE	TRUE	
edPostOtherName	other name	placeholder	1	11	FALSE	FALSE	FALSE	FALSE	TRUE	
edPostSocialSec	social security	placeholder	1	11	FALSE	FALSE	FALSE	FALSE	TRUE	
enroll_cand_info	Enrollment Candidate Info		0	12	FALSE	FALSE	FALSE	FALSE	FALSE	"ENROLL_CURRENTLY_ENROLLED,ENROLL_ON_BILLING_TRACK,ENROLL_FPSC,ENROLL_CURRENTLY_CREDENTIALED,ENROLL_NEED_CREDENTIALING"
fpsc	FPSC		0	12	FALSE	FALSE	TRUE	FALSE	FALSE	FPSC_QUESTION
not used	CPA3 check relationship text	Check your type of relationship with the candidate (Check all that apply):	3	9	FALSE	FALSE	FALSE	FALSE	TRUE	
personalInfo	Personal Info		0	12	FALSE	FALSE	FALSE	FALSE	FALSE	"piNameSection,piOtherSection,piContactSection,piHighDegreeSection"
piContactHeader	Contact Information Header	<h4>Current Contact Information</h4>	0	12	FALSE	FALSE	FALSE	FALSE	TRUE	
piContactInfo	Contact Information		0	12	FALSE	FALSE	FALSE	TRUE	FALSE	"PI_ADDRESS_LINES,PI_ADDRESS_CITY,PI_ADDRESS_STATE,PI_ADDRESS_COUNTRY,PI_ADDRESS_POSTAL,PI_ADDRESS_CELL_PHONE,PI_ADDRESS_HOME_PHONE,PI_ADDRESS_FAX,PI_EMAIL"
piContactSection	Contact Section		0	12	FALSE	FALSE	FALSE	FALSE	FALSE	"piContactHeader,piContactInfo"
piHighDegreeHeader	Highest Degree Information Header	<h4>Highest Degree Obtained</h4>	0	12	FALSE	FALSE	FALSE	FALSE	TRUE	
piHighDegreeInfo	Highest Degree Information		0	12	FALSE	FALSE	FALSE	TRUE	FALSE	"PI_HD_PROGRAM,PI_HD_DEGREE,PI_HD_INSTITUTION,PI_HD_COUNTRY,PI_HD_CITY,PI_HD_STATE,PI_HD_NAME,PI_HD_START,PI_HD_END"
piHighDegreeSection	Highest Degree Section		0	12	FALSE	FALSE	FALSE	FALSE	FALSE	"piHighDegreeHeader,piHighDegreeInfo"
piNameHeader	Name Information Header	<h4>Name Information</h4>	0	12	FALSE	FALSE	FALSE	FALSE	TRUE	
piNameInfo	Name Information		0	12	FALSE	FALSE	FALSE	TRUE	FALSE	"PI_FIRST_NAME,PI_MIDDLE_NAME,PI_LAST_NAME,PI_SUFFIX,PI_ALIASES,PI_NAME_MATCH"
piNameSection	Name Section		0	12	FALSE	FALSE	FALSE	FALSE	FALSE	"piNameHeader,piNameInfo"
piOtherHeader	Other Information Header	<h4>Other Information</h4>	0	12	FALSE	FALSE	FALSE	FALSE	TRUE	
piOtherInfo	Other Information		0	12	FALSE	FALSE	FALSE	TRUE	FALSE	"PI_BIRTH_DATE,PI_BIRTH_COUNTRY,PI_BIRTH_STATE,PI_CITIZENSHIP,PI_LIVING_IN_US,PI_GENDER,PI_HAS_SSN,PI_SSN,PI_ETHNICITY,PI_LANGUAGES,PI_SCHOLARLY_FOCUS"
piOtherSection	Other Section		0	12	FALSE	FALSE	FALSE	FALSE	FALSE	"piOtherHeader,piOtherInfo"
picca	main pica container		0	12	FALSE	FALSE	FALSE	FALSE	FALSE	"piccaHeader,PICCA_GOODSTANDING_QUESTION,piccaObservationDatesGroup,PICCA_SPECIALTY_QUESTION,piccaSuspendedGroup,piccaAdverseActionsGroup,piccaMalpracticeGroup,piccaDrugAbuseGroup,piccaMoralEthicalProfessionalGroup,picca_overallGroup,piccaOverallQuestionGroup,PICCA_FINAL_COMMENT,picca_contact"
piccaAdverseActionsGroup	PICCA Adverse Actions Group		0	12	FALSE	FALSE	FALSE	TRUE	FALSE	"PICCA_ADVERSE_QUESTION,PICCA_ADVERSE_COMMENT"
piccaDrugAbuseGroup	PICCA drug abuse group		0	12	FALSE	FALSE	FALSE	TRUE	FALSE	"PICCA_DRUG_ABUSE_QUESTION,PICCA_DRUG_ABUSE_COMMENT"
piccaHeader	header	"The applicant has applied for Medical Staff membership at the University of Michigan Hospitals.<br/><br/>Please review the attached University of Michigan Hospitals privileging document/request completed by this applicant and assess the applicant's competency to perform the requested privileges by completing the information below. The information provided will be confidential. Please contact the Office of Clinical Affairs, Medical Staff Services at (734) 647-6865 (address: 2500 Green Rd, Ste 700, Ann Arbor, MI 48105-1597) if you wish to discuss the applicant with a member of the Credentials Committee or contact the appointing Department Chairperson directly.<br/><br/>The requested information will assist the appointing Department Chairperson and the Credentials Committee in evaluating the recommended appointment for medical staff membership.<br/><br/><b>PLEASE NOTE: This Assessment is a requirement for consideration of medical staff membership at the University of Michigan Hospitals. You must have clinical knowledge of this applicant within the past 12 months to compete this evaluation.</b>"	0	12	FALSE	FALSE	FALSE	FALSE	TRUE	
piccaMalpracticeGroup	PICCA malpractice group		0	12	FALSE	FALSE	FALSE	TRUE	FALSE	"PICCA_MALPRACTICE_QUESTION,PICCA_MALPRACTICE_COMMENT"
piccaMoralEthicalProfessionalGroup	"picca moral, ethical, professional checklist group"	"<u><b><center>Please complete the following assessment of the applicant's moral, ethical, and professional competence</center></b></u>"	1	10	FALSE	FALSE	FALSE	TRUE	FALSE	"PICCA_MEP_QUESTION1,PICCA_MEP_COMMENT1,PICCA_MEP_QUESTION2,PICCA_MEP_COMMENT2,PICCA_MEP_QUESTION3,PICCA_MEP_COMMENT3,PICCA_MEP_QUESTION4,PICCA_MEP_COMMENT4,PICCA_MEP_QUESTION5,PICCA_MEP_COMMENT5,PICCA_MEP_QUESTION6,PICCA_MEP_COMMENT6,PICCA_MEP_QUESTION7,PICCA_MEP_COMMENT7,PICCA_MEP_QUESTION8,PICCA_MEP_COMMENT8,PICCA_MEP_QUESTION9,PICCA_MEP_COMMENT9,PICCA_MEP_QUESTION10,PICCA_MEP_COMMENT10,PICCA_MEP_QUESTION11,PICCA_MEP_COMMENT11,PICCA_MEP_QUESTION12,PICCA_MEP_COMMENT12,PICCA_MEP_QUESTION13,PICCA_MEP_COMMENT13,PICCA_MEP_QUESTION14,PICCA_MEP_COMMENT14"
piccaObservationDatesGroup	picca observation dates	<b>Dates of clinical observation covered by this form</b>:	3	9	FALSE	FALSE	FALSE	TRUE	FALSE	"PICCA_START_QUESTION,PICCA_END_QUESTION"
piccaOverallQuestionGroup	the last overall question group		0	12	FALSE	FALSE	FALSE	TRUE	FALSE	"PICCA_OVERALL_QUESTION,PICCA_NOLIKEYATALL_COMMENT"
piccaSuspendedGroup	Suspended Group		0	12	FALSE	FALSE	FALSE	TRUE	FALSE	"PICCA_SUSPENDED_QUESTION,PICCA_SUSPENDED_COMMENT"
picca_contact	contact info	<u><b>Contact Info</b></u>	1	10	FALSE	FALSE	FALSE	TRUE	FALSE	"PICCA_CONTACT_NAME,PICCA_CONTACT_TITLE,PICCA_CONTACT_INSTITUTION,PICCA_CONTACT_PHONE,PICCA_CONTACT_EMAIL"
picca_overallGroup	overall assessment group		0	12	FALSE	FALSE	FALSE	TRUE	FALSE	"PICCA_OVERALL_ASSESS,PICCA_OVERALL_COMMENT"
primaryRFP	Primary Appointment RFP		0	12	FALSE	FALSE	FALSE	FALSE	FALSE	"rfpPostingWaiver,RFP_Q01,RFP_Q02,rfpDiscussedDean,rfpFinancial,rfpBudget,rfpOfficeSpace,rfpResearchSpace,rfpClinicalPrivs,rfpDelineation,rfpOperating,rfpClinicalSpace,rfpCertify,RFP_Q16"
rfpBudget	RFP Budget		0	12	FALSE	FALSE	FALSE	TRUE	FALSE	"RFP_Q05,RFP_Q05_NOTES"
rfpCertify	RFP Certification		0	12	FALSE	FALSE	FALSE	TRUE	FALSE	"RFP_Q13,RFP_Q14,RFP_Q15"
rfpClinicalPrivs	RFP Clinical Privileges		0	12	FALSE	FALSE	FALSE	TRUE	FALSE	"RFP_Q08,RFP_Q08_Y"
rfpClinicalSpace	RFP Clinical Space		0	12	FALSE	FALSE	FALSE	TRUE	FALSE	"RFP_Q12,RFP_Q12_Y"
rfpDelineation	RFP Delineation Document		0	12	FALSE	FALSE	FALSE	TRUE	FALSE	"RFP_Q09,RFP_Q09_N"
rfpDiscussedDean	RFP Discussed with Dean		0	12	FALSE	FALSE	FALSE	TRUE	FALSE	"RFP_Q03,RFP_Q03_NOTES"
rfpFinancial	RFP Financial Ability		0	12	FALSE	FALSE	FALSE	TRUE	FALSE	"RFP_Q04,RFP_Q04_NOTES"
rfpOfficeSpace	RFP Office Space		0	12	FALSE	FALSE	FALSE	TRUE	FALSE	"RFP_Q06,RFP_Q06_Y,RFP_Q06_N"
rfpOperating	RFP Operating Room Time		0	12	FALSE	FALSE	FALSE	TRUE	FALSE	"RFP_Q11,RFP_Q11_Y"
rfpPostingWaiver	RFP Posting Waiver		0	12	FALSE	FALSE	FALSE	TRUE	FALSE	"RFP_Q00,RFP_Q00_Y"
