Title	Track	Workflow	Department	Faculty Affairs	Assistant Dean	Advisory Committee	Executive Committee	EVPMA	Provost	Vice President for Research	Regents
LEO Lecturer I                          	Leo Lecturer               	Reappointment	NA	NA	NA	NA	NA	NA	NA	NA	NA
LEO Lecturer I                          	Leo Lecturer               	Promotion	NA	NA	NA	NA	NA	NA	NA	NA	NA
LEO Lecturer II                         	Leo Lecturer               	Appointment	Yes	Yes	Yes	No	No	No	No	No	No
LEO Lecturer II                         	Leo Lecturer               	Reappointment	NA	NA	NA	NA	NA	NA	NA	NA	NA
LEO Lecturer II                         	Leo Lecturer               	Promotion	NA	NA	NA	NA	NA	NA	NA	NA	NA
LEO Lecturer III                        	Leo Lecturer               	Appointment	Yes	Yes	Yes	No	No	No	No	No	No
LEO Lecturer III                        	Leo Lecturer               	Reappointment	NA	NA	NA	NA	NA	NA	NA	NA	NA
LEO Lecturer III                        	Leo Lecturer               	Promotion	NA	NA	NA	NA	NA	NA	NA	NA	NA
LEO Lecturer IV                         	Leo Lecturer               	Appointment	Yes	Yes	Yes	No	No	No	No	No	No
LEO Lecturer IV                         	Leo Lecturer               	Reappointment	NA	NA	NA	NA	NA	NA	NA	NA	NA
LEO Lecturer IV                         	Leo Lecturer               	Promotion	NA	NA	NA	NA	NA	NA	NA	NA	NA
Research Investigator                   	Research                   	Appointment	Yes	Yes	Yes	No	No	No	No	No	No
Research Investigator                   	Research                   	Reappointment	NA	NA	NA	NA	NA	NA	NA	NA	NA
Research Investigator                   	Research                   	Promotion	NA	NA	NA	NA	NA	NA	NA	NA	NA
Assistant Research Scientist            	Research                   	Appointment	Yes	Yes	No	Yes	Yes	No	No	No	No
Assistant Research Scientist            	Research                   	Reappointment	NA	NA	NA	NA	NA	NA	NA	NA	NA
Assistant Research Scientist            	Research                   	Promotion	Yes	Yes	No	Yes	Yes	No	No	No	No
Research Assistant Professor            	Research                   	Appointment	Yes	Yes	No	Yes	Yes	No	No	No	No
Research Assistant Professor            	Research                   	Reappointment	NA	NA	NA	NA	NA	NA	NA	NA	NA
Research Assistant Professor            	Research                   	Promotion	Yes	Yes	No	Yes	Yes	No	No	No	No
Associate Research Scientist            	Research                   	Appointment	Yes	Yes	No	Yes	Yes	Yes	No	Yes	No
Associate Research Scientist            	Research                   	Reappointment	NA	NA	NA	NA	NA	NA	NA	NA	NA
Associate Research Scientist            	Research                   	Promotion	Yes	Yes	No	Yes	Yes	Yes	No	Yes	No
Research Associate Professor            	Research                   	Appointment	Yes	Yes	No	Yes	Yes	Yes	Yes	Yes	No
Research Associate Professor            	Research                   	Reappointment	NA	NA	NA	NA	NA	NA	NA	NA	NA
Research Associate Professor            	Research                   	Promotion	Yes	Yes	No	Yes	Yes	Yes	Yes	Yes	No
Research Scientist                      	Research                   	Appointment	Yes	Yes	No	Yes	Yes	Yes	No	Yes	No
Research Scientist                      	Research                   	Reappointment	NA	NA	NA	NA	NA	NA	NA	NA	NA
Research Scientist                      	Research                   	Promotion	Yes	Yes	No	Yes	Yes	Yes	No	Yes	No
Research Professor                      	Research                   	Appointment	Yes	Yes	No	Yes	Yes	Yes	Yes	Yes	No
Research Professor                      	Research                   	Reappointment	NA	NA	NA	NA	NA	NA	NA	NA	NA
Research Professor                      	Research                   	Promotion	Yes	Yes	No	Yes	Yes	Yes	Yes	Yes	No
Adjunct Physician Instructor            	Supplemental Clinical      	Appointment	Yes	Yes	Yes	No	No	No	No	No	No
Adjunct Physician Instructor            	Supplemental Clinical      	Reappointment	NA	NA	NA	NA	NA	NA	NA	NA	NA
Adjunct Physician Instructor            	Supplemental Clinical      	Promotion	NA	NA	NA	NA	NA	NA	NA	NA	NA
Adjunct Clinical Instructor             	Supplemental Clinical      	Appointment	Yes	Yes	Yes	No	No	No	No	No	No
Adjunct Clinical Instructor             	Supplemental Clinical      	Reappointment	NA	NA	NA	NA	NA	NA	NA	NA	NA
Adjunct Clinical Instructor             	Supplemental Clinical      	Promotion	NA	NA	NA	NA	NA	NA	NA	NA	NA
Visiting Clinical Instructor             	Supplemental Clinical      	Appointment	Yes	Yes	Yes	No	No	No	No	No	No
Visiting Clinical Instructor             	Supplemental Clinical      	Reappointment	NA	NA	NA	NA	NA	NA	NA	NA	NA
Visiting Clinical Instructor             	Supplemental Clinical      	Promotion	NA	NA	NA	NA	NA	NA	NA	NA	NA
Clinical Assistant Professor Emeritus/A 	Supplemental Clinical      	Appointment	Yes	Yes	No	No	Yes	No	No	No	Yes
Clinical Assistant Professor Emeritus/A 	Supplemental Clinical      	Reappointment	Yes	Yes	No	No	Yes	No	No	No	No
Clinical Assistant Professor Emeritus/A 	Supplemental Clinical      	Promotion	NA	NA	NA	NA	NA	NA	NA	NA	NA
Visiting Clinical Assistant Professor   	Supplemental Clinical      	Appointment	Yes	Yes	No	Yes	Yes	No	No	No	No
Visiting Clinical Assistant Professor   	Supplemental Clinical      	Reappointment	NA	NA	NA	NA	NA	NA	NA	NA	NA
Visiting Clinical Assistant Professor   	Supplemental Clinical      	Promotion	NA	NA	NA	NA	NA	NA	NA	NA	NA
Adjunct Clinical Assistant Professor    	Supplemental Clinical      	Appointment	Yes	Yes	No	Yes	Yes	No	No	No	No
Adjunct Clinical Assistant Professor    	Supplemental Clinical      	Reappointment	NA	NA	NA	NA	NA	NA	NA	NA	NA
Adjunct Clinical Assistant Professor    	Supplemental Clinical      	Promotion	Yes	Yes	No	Yes	Yes	No	No	No	No
Visiting Clinical Associate Professor    	Supplemental Clinical      	Appointment	Yes	Yes	No	Yes	Yes	No	No	No	No
Visiting Clinical Associate Professor    	Supplemental Clinical      	Reappointment	NA	NA	NA	NA	NA	NA	NA	NA	NA
Visiting Clinical Associate Professor    	Supplemental Clinical      	Promotion	NA	NA	NA	NA	NA	NA	NA	NA	NA
Clinical Associate Professor Emeritus   	Supplemental Clinical      	Appointment	Yes	Yes	No	No	Yes	No	No	No	Yes
Clinical Associate Professor Emeritus   	Supplemental Clinical      	Reappointment	Yes	Yes	No	No	Yes	No	No	No	No
Clinical Associate Professor Emeritus   	Supplemental Clinical      	Promotion	NA	NA	NA	NA	NA	NA	NA	NA	NA
Adjunct Clinical Associate Professor    	Supplemental Clinical      	Appointment	Yes	Yes	No	Yes	Yes	No	No	No	No
Adjunct Clinical Associate Professor    	Supplemental Clinical      	Reappointment	NA	NA	NA	NA	NA	NA	NA	NA	NA
Adjunct Clinical Associate Professor    	Supplemental Clinical      	Promotion	Yes	Yes	No	Yes	Yes	No	No	No	No
Clinical Professor Emeritus/A           	Supplemental Clinical      	Appointment	Yes	Yes	No	No	Yes	No	No	No	Yes
Clinical Professor Emeritus/A           	Supplemental Clinical      	Reappointment	Yes	Yes	No	No	Yes	No	No	No	No
Clinical Professor Emeritus/A           	Supplemental Clinical      	Promotion	NA	NA	NA	NA	NA	NA	NA	NA	NA
Adjunct Clinical Professor              	Supplemental Clinical      	Appointment	Yes	Yes	No	Yes	Yes	No	No	No	No
Adjunct Clinical Professor              	Supplemental Clinical      	Reappointment	NA	NA	NA	NA	NA	NA	NA	NA	NA
Adjunct Clinical Professor              	Supplemental Clinical      	Promotion	Yes	Yes	No	Yes	Yes	No	No	No	No
Visiting Clinical Professor              	Supplemental Clinical      	Appointment	Yes	Yes	No	Yes	Yes	No	No	No	No
Visiting Clinical Professor              	Supplemental Clinical      	Reappointment	NA	NA	NA	NA	NA	NA	NA	NA	NA
Visiting Clinical Professor              	Supplemental Clinical      	Promotion	NA	NA	NA	NA	NA	NA	NA	NA	NA
Adjunct Instructor                      	Supplemental Instructional 	Appointment	Yes	Yes	Yes	No	No	No	No	No	No
Adjunct Instructor                      	Supplemental Instructional 	Reappointment	NA	NA	NA	NA	NA	NA	NA	NA	NA
Adjunct Instructor                      	Supplemental Instructional 	Promotion	NA	NA	NA	NA	NA	NA	NA	NA	NA
Visiting Instructor                     	Supplemental Instructional 	Appointment	Yes	Yes	Yes	No	No	No	No	No	No
Visiting Instructor                     	Supplemental Instructional 	Reappointment	NA	NA	NA	NA	NA	NA	NA	NA	NA
Visiting Instructor                     	Supplemental Instructional 	Promotion	NA	NA	NA	NA	NA	NA	NA	NA	NA
Assistant Professor Emeritus/A          	Supplemental Instructional 	Appointment	Yes	Yes	No	No	Yes	No	No	No	Yes
Assistant Professor Emeritus/A          	Supplemental Instructional 	Reappointment	Yes	Yes	No	No	Yes	No	No	No	No
Assistant Professor Emeritus/A          	Supplemental Instructional 	Promotion	NA	NA	NA	NA	NA	NA	NA	NA	NA
Visiting Assistant Professor     	Supplemental Instructional 	Appointment	Yes	Yes	No	Yes	Yes	No	No	No	No
Visiting Assistant Professor     	Supplemental Instructional 	Reappointment	NA	NA	NA	NA	NA	NA	NA	NA	NA
Visiting Assistant Professor     	Supplemental Instructional 	Promotion	NA	NA	NA	NA	NA	NA	NA	NA	NA
Adjunct Assistant Professor             	Supplemental Instructional 	Appointment	Yes	Yes	No	Yes	Yes	No	No	No	No
Adjunct Assistant Professor             	Supplemental Instructional 	Reappointment	NA	NA	NA	NA	NA	NA	NA	NA	NA
Adjunct Assistant Professor             	Supplemental Instructional 	Promotion	Yes	Yes	No	Yes	Yes	No	No	No	No
Visiting Associate Professor            	Supplemental Instructional 	Appointment	Yes	Yes	No	Yes	Yes	No	No	No	No
Visiting Associate Professor            	Supplemental Instructional 	Reappointment	NA	NA	NA	NA	NA	NA	NA	NA	NA
Visiting Associate Professor            	Supplemental Instructional 	Promotion	NA	NA	NA	NA	NA	NA	NA	NA	NA
Adjunct Associate Professor             	Supplemental Instructional 	Appointment	Yes	Yes	No	Yes	Yes	No	No	No	No
Adjunct Associate Professor             	Supplemental Instructional 	Reappointment	NA	NA	NA	NA	NA	NA	NA	NA	NA
Adjunct Associate Professor             	Supplemental Instructional 	Promotion	Yes	Yes	No	Yes	Yes	No	No	No	No
Associate Professor Emeritus/a                      	Supplemental Instructional 	Appointment	Yes	Yes	No	No	Yes	No	No	No	Yes
Associate Professor Emeritus/a                      	Supplemental Instructional 	Reappointment	Yes	Yes	No	No	Yes	No	No	No	No
Associate Professor Emeritus/a                      	Supplemental Instructional 	Promotion	NA	NA	NA	NA	NA	NA	NA	NA	NA
Adjunct Professor                      	Supplemental Instructional 	Appointment	Yes	Yes	No	Yes	Yes	No	No	No	No
Adjunct Professor                      	Supplemental Instructional 	Reappointment	NA	NA	NA	NA	NA	NA	NA	NA	NA
Adjunct Professor                      	Supplemental Instructional 	Promotion	Yes	Yes	No	Yes	Yes	No	No	No	No
Visiting Professor                      	Supplemental Instructional 	Appointment	Yes	Yes	No	Yes	Yes	No	No	No	No
Visiting Professor                      	Supplemental Instructional 	Reappointment	NA	NA	NA	NA	NA	NA	NA	NA	NA
Visiting Professor                      	Supplemental Instructional 	Promotion	NA	NA	NA	NA	NA	NA	NA	NA	NA
Professor Emeritus/a                      	Supplemental Instructional 	Appointment	Yes	Yes	No	No	Yes	No	No	No	Yes
Professor Emeritus/a                      	Supplemental Instructional 	Reappointment	Yes	Yes	No	No	Yes	No	No	No	No
Professor Emeritus/a                      	Supplemental Instructional 	Promotion	NA	NA	NA	NA	NA	NA	NA	NA	NA
Visiting Clinical Lecturer              	Supplemental Lecturer      	Appointment	Yes	Yes	Yes	No	No	No	No	No	No
Visiting Clinical Lecturer              	Supplemental Lecturer      	Reappointment	NA	NA	NA	NA	NA	NA	NA	NA	NA
Visiting Clinical Lecturer              	Supplemental Lecturer      	Promotion	NA	NA	NA	NA	NA	NA	NA	NA	NA
Visiting Lecturer                       	Supplemental Lecturer      	Appointment	Yes	Yes	Yes	No	No	No	No	No	No
Visiting Lecturer                       	Supplemental Lecturer      	Reappointment	NA	NA	NA	NA	NA	NA	NA	NA	NA
Visiting Lecturer                       	Supplemental Lecturer      	Promotion	NA	NA	NA	NA	NA	NA	NA	NA	NA
Adjunct Clinical Associate              	Supplemental Lecturer      	Appointment	Yes	Yes	Yes	No	No	No	No	No	No
Adjunct Clinical Associate              	Supplemental Lecturer      	Reappointment	NA	NA	NA	NA	NA	NA	NA	NA	NA
Adjunct Clinical Associate              	Supplemental Lecturer      	Promotion	NA	NA	NA	NA	NA	NA	NA	NA	NA
Adjunct Clinical Lecturer               	Supplemental Lecturer      	Appointment	Yes	Yes	Yes	No	No	No	No	No	No
Adjunct Clinical Lecturer               	Supplemental Lecturer      	Reappointment	NA	NA	NA	NA	NA	NA	NA	NA	NA
Adjunct Clinical Lecturer               	Supplemental Lecturer      	Promotion	NA	NA	NA	NA	NA	NA	NA	NA	NA
Adjunct Lecturer                        	Supplemental Lecturer      	Appointment	Yes	Yes	Yes	No	No	No	No	No	No
Adjunct Lecturer                        	Supplemental Lecturer      	Reappointment	NA	NA	NA	NA	NA	NA	NA	NA	NA
Adjunct Lecturer                        	Supplemental Lecturer      	Promotion	NA	NA	NA	NA	NA	NA	NA	NA	NA
Adjunct Research Investigator           	Supplemental Research      	Appointment	Yes	Yes	Yes	No	No	No	No	No	No
Adjunct Research Investigator           	Supplemental Research      	Reappointment	NA	NA	NA	NA	NA	NA	NA	NA	NA
Adjunct Research Investigator           	Supplemental Research      	Promotion	NA	NA	NA	NA	NA	NA	NA	NA	NA
Visiting Research Investigator    	Supplemental Research      	Appointment	Yes	Yes	Yes	No	No	No	No	No	No
Visiting Research Investigator    	Supplemental Research      	Reappointment	NA	NA	NA	NA	NA	NA	NA	NA	NA
Visiting Research Investigator    	Supplemental Research      	Promotion	NA	NA	NA	NA	NA	NA	NA	NA	NA
Adjunct Assistant Research Scientist    	Supplemental Research      	Appointment	Yes	Yes	No	Yes	Yes	No	No	No	No
Adjunct Assistant Research Scientist    	Supplemental Research      	Reappointment	NA	NA	NA	NA	NA	NA	NA	NA	NA
Adjunct Assistant Research Scientist    	Supplemental Research      	Promotion	Yes	Yes	No	Yes	Yes	No	No	No	No
Visiting Assistant Research Scientist   	Supplemental Research      	Appointment	Yes	Yes	No	Yes	Yes	No	No	No	No
Visiting Assistant Research Scientist   	Supplemental Research      	Reappointment	NA	NA	NA	NA	NA	NA	NA	NA	NA
Visiting Assistant Research Scientist   	Supplemental Research      	Promotion	NA	NA	NA	NA	NA	NA	NA	NA	NA
Assistant Research Scientist Emeritus/a	Supplemental Research      	Appointment	Yes	Yes	No	No	Yes	No	No	No	Yes
Assistant Research Scientist Emeritus/a	Supplemental Research      	Reappointment	Yes	Yes	No	No	Yes	No	No	No	No
Assistant Research Scientist Emeritus/a	Supplemental Research      	Promotion	NA	NA	NA	NA	NA	NA	NA	NA	NA
Adjunct Research Assistant Professor   	Supplemental Research      	Appointment	Yes	Yes	No	Yes	Yes	No	No	No	No
Adjunct Research Assistant Professor   	Supplemental Research      	Reappointment	NA	NA	NA	NA	NA	NA	NA	NA	NA
Adjunct Research Assistant Professor   	Supplemental Research      	Promotion	Yes	Yes	No	Yes	Yes	No	No	No	No
Visiting Research Assistant Professor   	Supplemental Research      	Appointment	Yes	Yes	No	Yes	Yes	No	No	No	No
Visiting Research Assistant Professor   	Supplemental Research      	Reappointment	NA	NA	NA	NA	NA	NA	NA	NA	NA
Visiting Research Assistant Professor   	Supplemental Research      	Promotion	NA	NA	NA	NA	NA	NA	NA	NA	NA
Research Assistant Professor Emeritus/A 	Supplemental Research      	Appointment	Yes	Yes	No	No	Yes	No	No	No	Yes
Research Assistant Professor Emeritus/A 	Supplemental Research      	Reappointment	Yes	Yes	No	No	Yes	No	No	No	No
Research Assistant Professor Emeritus/A 	Supplemental Research      	Promotion	NA	NA	NA	NA	NA	NA	NA	NA	NA
Adjunct Associate Research Scientist    	Supplemental Research      	Appointment	Yes	Yes	No	Yes	Yes	No	No	No	No
Adjunct Associate Research Scientist    	Supplemental Research      	Reappointment	NA	NA	NA	NA	NA	NA	NA	NA	NA
Adjunct Associate Research Scientist    	Supplemental Research      	Promotion	Yes	Yes	No	Yes	Yes	No	No	No	No
Visiting Associate Research Scientist    	Supplemental Research      	Appointment	Yes	Yes	No	Yes	Yes	No	No	No	No
Visiting Associate Research Scientist    	Supplemental Research      	Reappointment	NA	NA	NA	NA	NA	NA	NA	NA	NA
Visiting Associate Research Scientist    	Supplemental Research      	Promotion	NA	NA	NA	NA	NA	NA	NA	NA	NA
Associate Research Scientist Emeritus/a	Supplemental Research      	Appointment	Yes	Yes	No	No	Yes	No	No	No	Yes
Associate Research Scientist Emeritus/a	Supplemental Research      	Reappointment	Yes	Yes	No	No	Yes	No	No	No	No
Associate Research Scientist Emeritus/a	Supplemental Research      	Promotion	NA	NA	NA	NA	NA	NA	NA	NA	NA
Adjunct Research Associate Professor   	Supplemental Research      	Appointment	Yes	Yes	No	Yes	Yes	No	No	No	No
Adjunct Research Associate Professor   	Supplemental Research      	Reappointment	NA	NA	NA	NA	NA	NA	NA	NA	NA
Adjunct Research Associate Professor   	Supplemental Research      	Promotion	Yes	Yes	No	Yes	Yes	No	No	No	No
Visiting Research Associate Professor    	Supplemental Research      	Appointment	Yes	Yes	No	Yes	Yes	No	No	No	No
Visiting Research Associate Professor    	Supplemental Research      	Reappointment	NA	NA	NA	NA	NA	NA	NA	NA	NA
Visiting Research Associate Professor    	Supplemental Research      	Promotion	NA	NA	NA	NA	NA	NA	NA	NA	NA
Research Associate Professor Emeritus/A 	Supplemental Research      	Appointment	Yes	Yes	No	No	Yes	No	No	No	Yes
Research Associate Professor Emeritus/A 	Supplemental Research      	Reappointment	Yes	Yes	No	No	Yes	No	No	No	No
Research Associate Professor Emeritus/A 	Supplemental Research      	Promotion	NA	NA	NA	NA	NA	NA	NA	NA	NA
Adjunct Research Scientist   	Supplemental Research      	Appointment	Yes	Yes	No	Yes	Yes	No	No	No	No
Adjunct Research Scientist   	Supplemental Research      	Reappointment	NA	NA	NA	NA	NA	NA	NA	NA	NA
Adjunct Research Scientist   	Supplemental Research      	Promotion	Yes	Yes	No	Yes	Yes	No	No	No	No
Visiting Research Scientist              	Supplemental Research      	Appointment	Yes	Yes	No	Yes	Yes	No	No	No	No
Visiting Research Scientist              	Supplemental Research      	Reappointment	NA	NA	NA	NA	NA	NA	NA	NA	NA
Visiting Research Scientist              	Supplemental Research      	Promotion	NA	NA	NA	NA	NA	NA	NA	NA	NA
Research Scientist Emeritus/a          	Supplemental Research      	Appointment	Yes	Yes	No	No	Yes	No	No	No	Yes
Research Scientist Emeritus/a          	Supplemental Research      	Reappointment	Yes	Yes	No	No	Yes	No	No	No	No
Research Scientist Emeritus/a          	Supplemental Research      	Promotion	NA	NA	NA	NA	NA	NA	NA	NA	NA
Adjunct Research Professor              	Supplemental Research      	Appointment	Yes	Yes	No	Yes	Yes	No	No	No	No
Adjunct Research Professor              	Supplemental Research      	Reappointment	NA	NA	NA	NA	NA	NA	NA	NA	NA
Adjunct Research Professor              	Supplemental Research      	Promotion	Yes	Yes	No	Yes	Yes	No	No	No	No
Visiting Research Professor             	Supplemental Research      	Appointment	Yes	Yes	No	Yes	Yes	No	No	No	No
Visiting Research Professor             	Supplemental Research      	Reappointment	NA	NA	NA	NA	NA	NA	NA	NA	NA
Visiting Research Professor             	Supplemental Research      	Promotion	NA	NA	NA	NA	NA	NA	NA	NA	NA
Research Professor Emeritus/A           	Supplemental Research      	Appointment	Yes	Yes	No	No	Yes	No	No	No	Yes
Research Professor Emeritus/A           	Supplemental Research      	Reappointment	Yes	Yes	No	No	Yes	No	No	No	No
Research Professor Emeritus/A           	Supplemental Research      	Promotion	NA	NA	NA	NA	NA	NA	NA	NA	NA
Associate Dean	Academic/Administrative Ungraded     	Appointment	No	Yes	No	No	Yes	No	No	No	Yes
Associate Dean	Academic/Administrative Ungraded     	Reappointment	NA	NA	NA	NA	NA	NA	NA	NA	NA
Associate Dean	Academic/Administrative Ungraded     	Promotion	NA	NA	NA	NA	NA	NA	NA	NA	NA
Assoc Director Acad Prgm	Academic/Administrative Ungraded     	Appointment	NA	NA	NA	NA	NA	NA	NA	NA	NA
Assoc Director Acad Prgm	Academic/Administrative Ungraded     	Reappointment	NA	NA	NA	NA	NA	NA	NA	NA	NA
Assoc Director Acad Prgm	Academic/Administrative Ungraded     	Promotion	NA	NA	NA	NA	NA	NA	NA	NA	NA
Associate Director	Academic/Administrative Ungraded     	Appointment	NA	NA	NA	NA	NA	NA	NA	NA	NA
Associate Director	Academic/Administrative Ungraded     	Reappointment	NA	NA	NA	NA	NA	NA	NA	NA	NA
Associate Director	Academic/Administrative Ungraded     	Promotion	NA	NA	NA	NA	NA	NA	NA	NA	NA
Assistant Dean	Academic/Administrative Ungraded     	Appointment	No	Yes	No	No	Yes	No	No	No	Yes
Assistant Dean	Academic/Administrative Ungraded     	Reappointment	NA	NA	NA	NA	NA	NA	NA	NA	NA
Assistant Dean	Academic/Administrative Ungraded     	Promotion	NA	NA	NA	NA	NA	NA	NA	NA	NA
Asst Director Acad Prgm	Academic/Administrative Ungraded     	Appointment	NA	NA	NA	NA	NA	NA	NA	NA	NA
Asst Director Acad Prgm	Academic/Administrative Ungraded     	Reappointment	NA	NA	NA	NA	NA	NA	NA	NA	NA
Asst Director Acad Prgm	Academic/Administrative Ungraded     	Promotion	NA	NA	NA	NA	NA	NA	NA	NA	NA
Chair	Academic/Administrative Ungraded     	Appointment	No	Yes	No	No	Yes	No	No	No	Yes
Chair	Academic/Administrative Ungraded     	Reappointment	NA	NA	NA	NA	NA	NA	NA	NA	NA
Chair	Academic/Administrative Ungraded     	Promotion	NA	NA	NA	NA	NA	NA	NA	NA	NA
Co-Director	Academic/Administrative Ungraded     	Appointment	NA	NA	NA	NA	NA	NA	NA	NA	NA
Co-Director	Academic/Administrative Ungraded     	Reappointment	NA	NA	NA	NA	NA	NA	NA	NA	NA
Co-Director	Academic/Administrative Ungraded     	Promotion	NA	NA	NA	NA	NA	NA	NA	NA	NA
Dean	Academic/Administrative Ungraded     	Appointment	NA	NA	NA	NA	NA	NA	NA	NA	NA
Dean	Academic/Administrative Ungraded     	Reappointment	NA	NA	NA	NA	NA	NA	NA	NA	NA
Dean	Academic/Administrative Ungraded     	Promotion	NA	NA	NA	NA	NA	NA	NA	NA	NA
Director Acad Program	Academic/Administrative Ungraded     	Appointment	NA	NA	NA	NA	NA	NA	NA	NA	NA
Director Acad Program	Academic/Administrative Ungraded     	Reappointment	NA	NA	NA	NA	NA	NA	NA	NA	NA
Director Acad Program	Academic/Administrative Ungraded     	Promotion	NA	NA	NA	NA	NA	NA	NA	NA	NA
Director Cancer Center	Academic/Administrative Ungraded     	Appointment	No	Yes	No	No	Yes	No	No	No	Yes
Director Cancer Center	Academic/Administrative Ungraded     	Reappointment	NA	NA	NA	NA	NA	NA	NA	NA	NA
Director Cancer Center	Academic/Administrative Ungraded     	Promotion	NA	NA	NA	NA	NA	NA	NA	NA	NA
Director	Academic/Administrative Ungraded     	Appointment	NA	NA	NA	NA	NA	NA	NA	NA	NA
Director	Academic/Administrative Ungraded     	Reappointment	NA	NA	NA	NA	NA	NA	NA	NA	NA
Director	Academic/Administrative Ungraded     	Promotion	NA	NA	NA	NA	NA	NA	NA	NA	NA
Executive Assoc Dean	Academic/Administrative Ungraded     	Appointment	No	Yes	No	No	Yes	No	No	No	Yes
Executive Assoc Dean	Academic/Administrative Ungraded     	Reappointment	NA	NA	NA	NA	NA	NA	NA	NA	NA
Executive Assoc Dean	Academic/Administrative Ungraded     	Promotion	NA	NA	NA	NA	NA	NA	NA	NA	NA
Exec VP Med Affairs	Academic/Administrative Ungraded     	Appointment	NA	NA	NA	NA	NA	NA	NA	NA	NA
Exec VP Med Affairs	Academic/Administrative Ungraded     	Reappointment	NA	NA	NA	NA	NA	NA	NA	NA	NA
Exec VP Med Affairs	Academic/Administrative Ungraded     	Promotion	NA	NA	NA	NA	NA	NA	NA	NA	NA
Program Director	Academic/Administrative Ungraded     	Appointment	NA	NA	NA	NA	NA	NA	NA	NA	NA
Program Director	Academic/Administrative Ungraded     	Reappointment	NA	NA	NA	NA	NA	NA	NA	NA	NA
Program Director	Academic/Administrative Ungraded     	Promotion	NA	NA	NA	NA	NA	NA	NA	NA	NA
Senior Assoc Dean	Academic/Administrative Ungraded     	Appointment	No	Yes	No	No	Yes	No	No	No	Yes
Senior Assoc Dean	Academic/Administrative Ungraded     	Reappointment	NA	NA	NA	NA	NA	NA	NA	NA	NA
