Title	Track	Workflow	Recent Significant Publications	Minimum	Maximum
Visiting Associate Professor            	Supplemental Instructional 	Promotion	NA	NA	NA
Adjunct Associate Professor             	Supplemental Instructional 	Appointment	Yes	5	5
Adjunct Associate Professor             	Supplemental Instructional 	Reappointment	NA	NA	NA
Adjunct Associate Professor             	Supplemental Instructional 	Promotion	Yes	5	5
Associate Professor Emeritus/a                      	Supplemental Instructional 	Appointment	NA	NA	NA
Associate Professor Emeritus/a                      	Supplemental Instructional 	Reappointment	NA	NA	NA
Associate Professor Emeritus/a                      	Supplemental Instructional 	Promotion	NA	NA	NA
Adjunct Professor                      	Supplemental Instructional 	Appointment	Yes	5	5
Adjunct Professor                      	Supplemental Instructional 	Reappointment	NA	NA	NA
Adjunct Professor                      	Supplemental Instructional 	Promotion	Yes	5	5
Visiting Professor                      	Supplemental Instructional 	Appointment	Yes	5	5
Visiting Professor                      	Supplemental Instructional 	Reappointment	NA	NA	NA
Visiting Professor                      	Supplemental Instructional 	Promotion	NA	NA	NA
Professor Emeritus/a                      	Supplemental Instructional 	Appointment	NA	NA	NA
Professor Emeritus/a                      	Supplemental Instructional 	Reappointment	NA	NA	NA
Professor Emeritus/a                      	Supplemental Instructional 	Promotion	NA	NA	NA
Visiting Clinical Lecturer              	Supplemental Lecturer      	Appointment	NA	NA	NA
Visiting Clinical Lecturer              	Supplemental Lecturer      	Reappointment	NA	NA	NA
Visiting Clinical Lecturer              	Supplemental Lecturer      	Promotion	NA	NA	NA
Visiting Lecturer                       	Supplemental Lecturer      	Appointment	NA	NA	NA
Visiting Lecturer                       	Supplemental Lecturer      	Reappointment	NA	NA	NA
Visiting Lecturer                       	Supplemental Lecturer      	Promotion	NA	NA	NA
Adjunct Clinical Associate              	Supplemental Lecturer      	Appointment	NA	NA	NA
Adjunct Clinical Associate              	Supplemental Lecturer      	Reappointment	NA	NA	NA
Adjunct Clinical Associate              	Supplemental Lecturer      	Promotion	NA	NA	NA
Adjunct Clinical Lecturer               	Supplemental Lecturer      	Appointment	NA	NA	NA
Adjunct Clinical Lecturer               	Supplemental Lecturer      	Reappointment	NA	NA	NA
Adjunct Clinical Lecturer               	Supplemental Lecturer      	Promotion	NA	NA	NA
Adjunct Lecturer                        	Supplemental Lecturer      	Appointment	NA	NA	NA
Adjunct Lecturer                        	Supplemental Lecturer      	Reappointment	NA	NA	NA
Adjunct Lecturer                        	Supplemental Lecturer      	Promotion	NA	NA	NA
Adjunct Research Investigator           	Supplemental Research      	Appointment	NA	NA	NA
Adjunct Research Investigator           	Supplemental Research      	Reappointment	NA	NA	NA
Adjunct Research Investigator           	Supplemental Research      	Promotion	NA	NA	NA
Visiting Research Investigator    	Supplemental Research      	Appointment	NA	NA	NA
Visiting Research Investigator    	Supplemental Research      	Reappointment	NA	NA	NA
Visiting Research Investigator    	Supplemental Research      	Promotion	NA	NA	NA
Adjunct Assistant Research Scientist    	Supplemental Research      	Appointment	Yes	5	5
Adjunct Assistant Research Scientist    	Supplemental Research      	Reappointment	NA	NA	NA
Adjunct Assistant Research Scientist    	Supplemental Research      	Promotion	Yes	5	5
Visiting Assistant Research Scientist   	Supplemental Research      	Appointment	Yes	5	5
Visiting Assistant Research Scientist   	Supplemental Research      	Reappointment	NA	NA	NA
Visiting Assistant Research Scientist   	Supplemental Research      	Promotion	NA	NA	NA
Assistant Research Scientist Emeritus/a	Supplemental Research      	Appointment	NA	NA	NA
Assistant Research Scientist Emeritus/a	Supplemental Research      	Reappointment	NA	NA	NA
Assistant Research Scientist Emeritus/a	Supplemental Research      	Promotion	NA	NA	NA
Adjunct Research Assistant Professor   	Supplemental Research      	Appointment	Yes	5	5
Adjunct Research Assistant Professor   	Supplemental Research      	Reappointment	NA	NA	NA
Adjunct Research Assistant Professor   	Supplemental Research      	Promotion	Yes	5	5
Visiting Research Assistant Professor   	Supplemental Research      	Appointment	Yes	5	5
Visiting Research Assistant Professor   	Supplemental Research      	Reappointment	NA	NA	NA
Visiting Research Assistant Professor   	Supplemental Research      	Promotion	NA	NA	NA
Research Assistant Professor Emeritus/A 	Supplemental Research      	Appointment	NA	NA	NA
Research Assistant Professor Emeritus/A 	Supplemental Research      	Reappointment	NA	NA	NA
Research Assistant Professor Emeritus/A 	Supplemental Research      	Promotion	NA	NA	NA
Adjunct Associate Research Scientist    	Supplemental Research      	Appointment	Yes	5	5
Adjunct Associate Research Scientist    	Supplemental Research      	Reappointment	NA	NA	NA
Adjunct Associate Research Scientist    	Supplemental Research      	Promotion	Yes	5	5
Visiting Associate Research Scientist    	Supplemental Research      	Appointment	Yes	5	5
Visiting Associate Research Scientist    	Supplemental Research      	Reappointment	NA	NA	NA
Visiting Associate Research Scientist    	Supplemental Research      	Promotion	NA	NA	NA
Associate Research Scientist Emeritus/a	Supplemental Research      	Appointment	NA	NA	NA
Associate Research Scientist Emeritus/a	Supplemental Research      	Reappointment	NA	NA	NA
Associate Research Scientist Emeritus/a	Supplemental Research      	Promotion	NA	NA	NA
Adjunct Research Associate Professor   	Supplemental Research      	Appointment	Yes	5	5
Adjunct Research Associate Professor   	Supplemental Research      	Reappointment	NA	NA	NA
Adjunct Research Associate Professor   	Supplemental Research      	Promotion	Yes	5	5
Visiting Research Associate Professor    	Supplemental Research      	Appointment	Yes	5	5
Visiting Research Associate Professor    	Supplemental Research      	Reappointment	NA	NA	NA
Visiting Research Associate Professor    	Supplemental Research      	Promotion	NA	NA	NA
Research Associate Professor Emeritus/A 	Supplemental Research      	Appointment	NA	NA	NA
Research Associate Professor Emeritus/A 	Supplemental Research      	Reappointment	NA	NA	NA
Research Associate Professor Emeritus/A 	Supplemental Research      	Promotion	NA	NA	NA
Adjunct Research Scientist   	Supplemental Research      	Appointment	Yes	5	5
Adjunct Research Scientist   	Supplemental Research      	Reappointment	NA	NA	NA
Adjunct Research Scientist   	Supplemental Research      	Promotion	Yes	5	5
Visiting Research Scientist              	Supplemental Research      	Appointment	Yes	5	5
Visiting Research Scientist              	Supplemental Research      	Reappointment	NA	NA	NA
Visiting Research Scientist              	Supplemental Research      	Promotion	NA	NA	NA
Research Scientist Emeritus/a          	Supplemental Research      	Appointment	NA	NA	NA
Research Scientist Emeritus/a          	Supplemental Research      	Reappointment	NA	NA	NA
Research Scientist Emeritus/a          	Supplemental Research      	Promotion	NA	NA	NA
Adjunct Research Professor              	Supplemental Research      	Appointment	Yes	5	5
Adjunct Research Professor              	Supplemental Research      	Reappointment	NA	NA	NA
Adjunct Research Professor              	Supplemental Research      	Promotion	Yes	5	5
Visiting Research Professor             	Supplemental Research      	Appointment	Yes	5	5
Visiting Research Professor             	Supplemental Research      	Reappointment	NA	NA	NA
Visiting Research Professor             	Supplemental Research      	Promotion	NA	NA	NA
Research Professor Emeritus/A           	Supplemental Research      	Appointment	NA	NA	NA
Research Professor Emeritus/A           	Supplemental Research      	Reappointment	NA	NA	NA
Research Professor Emeritus/A           	Supplemental Research      	Promotion	NA	NA	NA
Associate Dean	Academic/Administrative Ungraded     	Appointment	NA	NA	NA
Associate Dean	Academic/Administrative Ungraded     	Reappointment	NA	NA	NA
Associate Dean	Academic/Administrative Ungraded     	Promotion	NA	NA	NA
Assoc Director Acad Prgm	Academic/Administrative Ungraded     	Appointment	NA	NA	NA
Assoc Director Acad Prgm	Academic/Administrative Ungraded     	Reappointment	NA	NA	NA
Assoc Director Acad Prgm	Academic/Administrative Ungraded     	Promotion	NA	NA	NA
Associate Director	Academic/Administrative Ungraded     	Appointment	NA	NA	NA
Associate Director	Academic/Administrative Ungraded     	Reappointment	NA	NA	NA
Associate Director	Academic/Administrative Ungraded     	Promotion	NA	NA	NA
Assistant Dean	Academic/Administrative Ungraded     	Appointment	NA	NA	NA
Assistant Dean	Academic/Administrative Ungraded     	Reappointment	NA	NA	NA
Assistant Dean	Academic/Administrative Ungraded     	Promotion	NA	NA	NA
Asst Director Acad Prgm	Academic/Administrative Ungraded     	Appointment	NA	NA	NA
Asst Director Acad Prgm	Academic/Administrative Ungraded     	Reappointment	NA	NA	NA
Asst Director Acad Prgm	Academic/Administrative Ungraded     	Promotion	NA	NA	NA
Chair	Academic/Administrative Ungraded     	Appointment	NA	NA	NA
Chair	Academic/Administrative Ungraded     	Reappointment	NA	NA	NA
Chair	Academic/Administrative Ungraded     	Promotion	NA	NA	NA
Co-Director	Academic/Administrative Ungraded     	Appointment	NA	NA	NA
Co-Director	Academic/Administrative Ungraded     	Reappointment	NA	NA	NA
Co-Director	Academic/Administrative Ungraded     	Promotion	NA	NA	NA
Dean	Academic/Administrative Ungraded     	Appointment	NA	NA	NA
Dean	Academic/Administrative Ungraded     	Reappointment	NA	NA	NA
Dean	Academic/Administrative Ungraded     	Promotion	NA	NA	NA
Director Acad Program	Academic/Administrative Ungraded     	Appointment	NA	NA	NA
Director Acad Program	Academic/Administrative Ungraded     	Reappointment	NA	NA	NA
Director Acad Program	Academic/Administrative Ungraded     	Promotion	NA	NA	NA
Director Cancer Center	Academic/Administrative Ungraded     	Appointment	NA	NA	NA
Director Cancer Center	Academic/Administrative Ungraded     	Reappointment	NA	NA	NA
Director Cancer Center	Academic/Administrative Ungraded     	Promotion	NA	NA	NA
Director	Academic/Administrative Ungraded     	Appointment	NA	NA	NA
Director	Academic/Administrative Ungraded     	Reappointment	NA	NA	NA
Director	Academic/Administrative Ungraded     	Promotion	NA	NA	NA
Executive Assoc Dean	Academic/Administrative Ungraded     	Appointment	NA	NA	NA
Executive Assoc Dean	Academic/Administrative Ungraded     	Reappointment	NA	NA	NA
Executive Assoc Dean	Academic/Administrative Ungraded     	Promotion	NA	NA	NA
Exec VP Med Affairs	Academic/Administrative Ungraded     	Appointment	NA	NA	NA
Exec VP Med Affairs	Academic/Administrative Ungraded     	Reappointment	NA	NA	NA
Exec VP Med Affairs	Academic/Administrative Ungraded     	Promotion	NA	NA	NA
Program Director	Academic/Administrative Ungraded     	Appointment	NA	NA	NA
Program Director	Academic/Administrative Ungraded     	Reappointment	NA	NA	NA
Program Director	Academic/Administrative Ungraded     	Promotion	NA	NA	NA
Senior Assoc Dean	Academic/Administrative Ungraded     	Appointment	NA	NA	NA
Senior Assoc Dean	Academic/Administrative Ungraded     	Reappointment	NA	NA	NA
Senior Assoc Dean	Academic/Administrative Ungraded     	Promotion	NA	NA	NA
Medical Director MD	Academic/Administrative Ungraded     	Appointment	NA	NA	NA
Medical Director MD	Academic/Administrative Ungraded     	Reappointment	NA	NA	NA
Medical Director MD	Academic/Administrative Ungraded     	Promotion	NA	NA	NA
